generation_seed,target_rows,target_contexts,exclusion_count,clean_cutoff_score,membership_switches,near_cutoff_rows,near_cutoff_switches,far_cutoff_switches,clean_only_exclusions,poison_only_exclusions,unsafe_clean_only_exclusions,unsafe_poison_only_exclusions,net_unsafe_crossing,clean_unsafe_selected,poison_unsafe_selected,delta_unsafe_selected,clean_total_regret,poison_total_regret,delta_regret,exclusion_jaccard,unsafe_to_safe,safe_to_unsafe,safe_to_safe,unsafe_to_unsafe,delta_auc,delta_ap,delta_recall
44791,225,75,88,0.2801911160011875,8,23,5,3,4,4,3,1,-2,15,18,3,0.9324967346938303,1.0602069797495328,0.1277102450557025,0.9130434782608695,0,3,1,0,-0.018181818181818188,-0.009853072847635813,-0.033333333333333326
44792,219,73,85,0.2799019013086276,4,22,2,2,2,2,1,1,0,21,22,1,1.2398076214002196,1.2797513360752557,0.0399437146750361,0.9540229885057471,0,1,1,1,-0.009862338196014009,-0.005160367785619124,0.0
44793,219,73,85,0.2819014702469032,4,22,2,2,2,2,1,1,0,16,17,1,0.9436948816973718,0.9832462394670871,0.0395513577697153,0.9540229885057471,0,1,1,1,-0.010062893081761004,-0.005152750716411025,0.0
44794,216,72,84,0.28195479945482754,4,22,2,2,2,2,1,0,-1,17,18,1,1.0017215525498153,1.0410036397986193,0.039282087248804,0.9534883720930233,0,1,2,0,-0.010584897424705253,-0.005475578095701206,-0.017241379310344862
44795,225,75,88,0.27760870231880325,2,23,1,1,1,1,1,0,-1,16,17,1,0.9843043842122947,1.023266656607085,0.03896227239479022,0.9775280898876404,0,1,0,0,-0.008282828282828225,-0.004601298875836435,-0.01666666666666672
44796,228,76,89,0.2769899464122739,2,23,1,1,1,1,1,0,-1,22,23,1,1.5408192332673125,1.5795582510831454,0.03873901781583289,0.9777777777777777,0,1,1,0,-0.008305804624822888,-0.004978423454949921,-0.015384615384615441
44797,225,75,88,0.2774023750832714,2,23,1,1,1,1,1,0,-1,19,20,1,1.2438878534416173,1.2831263008965232,0.0392384474549059,0.9775280898876404,0,1,1,0,-0.00879648140743694,-0.005014195553483869,-0.016393442622950838
44798,255,85,99,0.295177469055146,6,26,3,3,3,3,3,0,-3,7,10,3,0.4246114697270398,0.549037118601508,0.12442564887446816,0.9411764705882353,0,3,1,0,-0.041726489590811155,-0.06980831949039196,-0.0535714285714286
44799,261,87,102,0.29759745402329846,10,27,5,5,5,5,5,2,-3,9,12,3,0.20925642788625629,0.29872111995954415,0.08946469207328786,0.9065420560747663,0,3,2,0,-0.06480836236933807,-0.08442340302060847,-0.0535714285714286
44800,261,87,102,0.2985759764278394,6,27,3,3,3,3,3,0,-3,7,10,3,0.1954581423694222,0.3203821778239824,0.12492403545456018,0.9428571428571428,0,3,1,0,-0.04233449477351914,-0.06943269686485082,-0.0535714285714286
