generation_seed,test_index,action,unsafe_action,realized_action_regret,clean_score,poison_score,delta_score,clean_excluded,poison_excluded,membership_switch,clean_cutoff_score,abs_clean_cutoff_margin,near_cutoff_primary
44791,0,1,0,0.0,0.6500324465359225,0.737535845698475,0.08750339916255245,1,1,0,0.2801911160011875,0.369841330534735,0
44791,0,2,0,0.0,0.24777096356167908,0.329624622858308,0.08185365929662894,0,0,0,0.2801911160011875,0.03242015243950844,0
44791,0,3,0,0.0,0.14792044236010785,0.15943592872400333,0.011515486363895489,0,0,0,0.2801911160011875,0.13227067364107967,0
44791,1,1,0,0.0,0.672122375183818,0.7397479794545326,0.06762560427071462,1,1,0,0.2801911160011875,0.3919312591826305,0
44791,1,2,0,0.0,0.26660468060485787,0.3321616501576258,0.06555696955276791,0,0,0,0.2801911160011875,0.013586435396329644,1
44791,1,3,0,0.0,0.16078657771115665,0.16097760747984452,0.00019102976868787258,0,0,0,0.2801911160011875,0.11940453829003086,0
44791,2,1,0,0.0,0.632296241506838,0.7357979471566061,0.10350170564976802,1,1,0,0.2801911160011875,0.35210512550565054,0
44791,2,2,0,0.0,0.2336817360362413,0.32764801080952166,0.09396627477328037,0,0,0,0.2801911160011875,0.046509379964946224,0
44791,2,3,0,0.0,0.13846396822889934,0.15823896741743457,0.01977499918853523,0,0,0,0.2801911160011875,0.14172714777228818,0
44791,3,1,0,0.0,0.6405504496010459,0.7366029620260289,0.09605251242498303,1,1,0,0.2801911160011875,0.3603593335998584,0
44791,3,2,0,0.0,0.240130561407141,0.32856180422095804,0.08843124281381703,0,0,0,0.2801911160011875,0.040060554594046505,0
44791,3,3,0,0.0,0.14277467651726897,0.1587918734692233,0.016017196951954332,0,0,0,0.2801911160011875,0.13741643948391855,0
44791,4,1,0,0.0,0.6436971282317808,0.7369115438443258,0.09321441561254495,1,1,0,0.2801911160011875,0.3635060122305933,0
44791,4,2,0,0.0,0.24263800212319325,0.32891290439350307,0.08627490227030982,0,0,0,0.2801911160011875,0.03755311387799426,0
44791,4,3,0,0.0,0.14445879190977218,0.15900451936995652,0.014545727460184343,0,0,0,0.2801911160011875,0.13573232409141534,0
44791,5,1,0,0.0,0.6845863412170253,0.7410239336264292,0.056437592409403825,1,1,0,0.2801911160011875,0.4043952252158378,0
44791,5,2,1,0.0188619399861478,0.2779229164393651,0.33363583784689904,0.05571292140753392,0,1,1,0.2801911160011875,0.0022681995618223927,1
44791,5,3,1,0.0188619399861478,0.16864550817657248,0.16187620516965845,-0.006769303006914029,0,0,0,0.2801911160011875,0.11154560782461503,0
44791,6,1,0,0.0,0.6823888516903811,0.7407973603088996,0.05840850861851854,1,1,0,0.2801911160011875,0.4021977356891936,0
44791,6,2,0,0.0,0.2758890035559782,0.33337348100795144,0.05748447745197327,0,1,1,0.2801911160011875,0.0043021124452093384,1
44791,6,3,0,0.0,0.16722610842310168,0.16171613469578222,-0.005509973727319456,0,0,0,0.2801911160011875,0.11296500757808584,0
44791,7,1,0,0.0,0.6632702845502169,0.7388544729786357,0.07558418842841885,1,1,0,0.2801911160011875,0.38307916854902935,0
44791,7,2,0,0.0,0.25887655131462667,0.33113406009420376,0.0722575087795771,0,0,0,0.2801911160011875,0.021314564686560844,0
44791,7,3,0,0.0,0.15547555607226812,0.16035244368005747,0.004876887607789343,0,0,0,0.2801911160011875,0.12471555992891939,0
44791,8,1,0,0.0,0.6719515901171225,0.7397306451765742,0.0677790550594517,1,1,0,0.2801911160011875,0.39176047411593495,0
44791,8,2,0,0.0,0.2664531992431965,0.33214167764222374,0.06568847839902725,0,0,0,0.2801911160011875,0.01373791675799102,1
44791,8,3,0,0.0,0.1606820479622934,0.16096544718100825,0.00028339921871484153,0,0,0,0.2801911160011875,0.1195090680388941,0
