seed,contexts,baseline_unsafe,primary_unsafe,baseline_regret,primary_regret,changed_actions,delta_unsafe_primary_minus_baseline,delta_regret_primary_minus_baseline
44431,93,41,15,2.752493017078938,0.7141493078753695,73,-26,-2.0383437092035686
44432,91,39,10,2.5797439481242406,0.43391041817308074,61,-29,-2.14583352995116
44433,89,39,11,2.4605035333697134,0.4388972136970083,74,-28,-2.021606319672705
44434,88,32,12,2.1448317000760766,0.8170859109031563,56,-20,-1.3277457891729203
44435,90,29,9,1.9776140428774953,0.4200053747945973,52,-20,-1.557608668082898
44436,89,34,12,2.2459686159769414,0.8024874770861253,66,-22,-1.443481138890816
44437,91,38,11,2.51249753809572,0.4365051530691494,61,-27,-2.075992385026571
44438,92,35,10,2.3632848742403043,0.4319041843635952,70,-25,-1.9313806898767092
44439,90,27,8,1.8296053099656533,0.3283522463834088,56,-19,-1.5012530635822445
44440,90,15,8,0.9727810856399168,0.3267135252270011,39,-7,-0.6460675604129158
44441,88,12,9,0.7215826073142524,0.3401828791015724,45,-3,-0.38139972821268
44442,89,12,7,0.7131785415847625,0.31357294050456064,41,-5,-0.3996056010802018
44443,87,16,8,1.012907266617596,0.3215658625328321,54,-8,-0.6913414040847639
44444,87,14,9,0.8437948457543778,0.3697630110490721,40,-5,-0.4740318347053057
44445,88,17,9,1.211597844537555,0.3701008214132365,34,-8,-0.8414970231243185
44446,84,15,13,0.9132666141844565,0.5935039745336994,24,-2,-0.31976263965075713
44447,81,26,14,1.8499164775534327,0.6612475514538687,43,-12,-1.188668926099564
44448,84,24,15,1.8067750133925389,0.7300446320419784,35,-9,-1.0767303813505604
44449,85,29,13,2.1565643839805673,0.6520249230877136,43,-16,-1.5045394608928535
44450,86,29,11,1.911620474547936,0.43360261176240644,67,-18,-1.4780178627855296
44451,84,26,16,1.56022353912337,0.6736512219346606,52,-10,-0.8865723171887094
44452,78,13,15,0.6227782831399565,0.5970189404304853,30,2,-0.025759342709471222
44453,77,13,12,0.6462765292582444,0.45618543170938186,37,-1,-0.19009109754886255
44454,73,15,14,0.742898881860799,0.5890808804475425,26,-1,-0.15381800141325652
44455,74,22,17,1.1041092550746023,0.6644350434483773,56,-5,-0.439674211626225
44456,73,17,15,0.8574143733523912,0.6316224640216499,49,-2,-0.22579190933074134
44457,70,18,12,0.7568146689920479,0.3831193179825395,60,-6,-0.37369535100950835
44458,72,25,16,1.1695569060475866,0.5512464806266866,48,-9,-0.6183104254209
44459,72,17,13,0.8928185505443823,0.5252382848691285,46,-4,-0.3675802656752538
44460,72,13,11,0.5910811503899606,0.3784658138723449,34,-2,-0.21261533651761566
44461,67,9,7,0.3862348385172574,0.20067121532744212,32,-2,-0.18556362318981526
44462,67,6,8,0.24471778855111356,0.2498166097154358,28,2,0.005098821164322226
44463,68,7,10,0.2701631425731439,0.2651711857767396,30,3,-0.0049919567964042955
44464,65,7,10,0.2565655868935499,0.2800153042684248,28,3,0.02344971737487489
44465,63,9,11,0.31086991225201605,0.3226482601763332,25,2,0.011778347924317145
44466,65,12,11,0.5186359832793267,0.36036240164371713,27,-1,-0.15827358163560956
44467,68,7,9,0.32087402026285244,0.2476410037230778,42,2,-0.07323301653977465
44468,67,11,11,0.427336978734591,0.30131900231738584,30,0,-0.12601797641720514
44469,72,19,11,0.9596582153817903,0.27707960972733203,32,-8,-0.6825786056544583
44470,73,22,11,1.2567680299091961,0.31406867241048686,38,-11,-0.9426993574987093
