trial,unsafe_selected,total_regret
1,750,41.569369236698755
2,751,41.971951819763454
3,720,40.195288796646786
4,717,40.282676394476056
5,765,42.37339320870261
6,703,39.30517524678429
7,748,41.56195345873179
8,741,40.69142354595931
9,749,41.51571314198369
10,738,41.1115892588275
11,746,42.38543836846784
12,765,42.30069296873819
13,749,41.99526727148999
14,745,41.77839118787372
15,734,41.10465573150173
16,732,40.87551974797766
17,743,41.7070146463326
18,737,40.97163132176547
19,742,41.50834047818884
20,740,41.22054931128936
21,723,40.440931966329735
22,740,41.62988276055752
23,739,40.78829036414206
24,738,41.53325483116381
25,742,41.31463655930111
26,760,42.847512705170175
27,739,41.34614174007023
28,736,40.81091927439282
29,734,40.51332760245966
30,726,40.56975465223088
31,736,41.82717216049365
32,777,43.4944290156421
33,751,41.81468352319195
34,765,42.55617935665209
35,735,40.409716479419295
36,729,41.10998038400882
37,758,42.00106486031049
38,726,40.86462284631049
39,743,41.81564164131239
40,749,41.82103651522922
41,717,39.64641937928767
42,757,41.705624726474625
43,725,40.506046899936905
44,747,41.3656751174239
45,725,39.98088462389719
46,749,41.93061134813153
47,734,41.56464218786296
48,722,39.837467175522434
49,749,41.63291641146249
50,740,41.12663702073914
51,740,41.970174310679205
52,749,40.86642091119593
53,749,41.9813242897587
54,752,42.05586790362238
55,740,41.27489743411424
56,748,41.026762098762056
57,762,42.89915307339278
58,733,41.03177257769632
59,745,41.05068896117149
60,733,40.40847081476409
61,733,40.64193683720075
62,771,42.854177424530754
63,751,41.68873496405141
64,729,40.93077013179312
65,738,41.37382086545033
66,751,42.21828597777678
67,744,41.88184848600965
68,748,41.72707655315858
69,744,41.225404780480766
70,740,41.6120336160984
71,739,41.79384234303849
72,720,39.81366059030023
73,731,40.56831464068568
74,740,41.697886748024466
75,735,41.040581569777366
76,739,41.505921672681424
77,725,40.6489288907562
78,727,41.27582521628504
79,747,41.46476019500193
80,746,41.16975325557734
81,748,42.066538033324484
82,747,40.553769310961954
83,734,41.6179957206247
84,740,41.902469354164054
85,743,40.89442459803075
86,769,43.400935657411964
87,720,40.13515870370659
88,750,41.510320847985234
89,749,42.11879538392937
90,716,41.17416872057453
91,778,43.68148306846352
92,720,40.74613742750658
93,732,40.082946314592974
94,745,41.85284634341868
95,736,41.1070982088527
96,746,41.749630710162776
97,720,39.91233716408754
98,748,41.95324604843135
99,727,41.6985747012999
100,755,41.581149666212006
101,731,41.01234893686859
102,762,43.53510787869212
103,748,41.48288235711388
104,716,40.17775179652617
105,735,40.85895376440164
106,724,40.49326591595774
107,777,43.48736574166857
108,755,42.15202317518066
109,752,41.748968502371866
110,759,42.46179949910217
111,753,41.905360033038264
112,757,42.30750272080161
113,732,41.00713940195077
114,749,42.05655634469669
115,751,41.52268029348333
116,730,40.11236433564323
117,746,41.523395375499376
118,743,41.64511743393981
119,736,40.96952273865396
120,739,41.3960910896122
121,761,42.886963574841715
122,739,41.03422542404518
123,745,41.47943906510583
124,772,42.32198162476994
125,732,40.81765408319411
126,752,42.11808547107862
127,737,41.19560435716726
128,767,43.222228325488196
129,746,41.17648474869686
130,746,42.04686568271581
131,751,42.28361727614823
132,738,41.26054915848236
133,772,43.56811172134537
134,732,41.174472347535165
135,747,42.36561724704512
136,743,41.98664693886704
137,732,40.7162262087748
138,716,40.2406931239562
139,749,41.87704199209659
140,766,42.08347561930134
141,730,40.47702303606866
142,731,41.20043053152719
143,734,40.67687948373533
144,755,42.994327431835636
145,734,41.42222260667577
146,713,40.088941627768776
147,746,42.12841892917655
148,753,41.93112216697416
149,727,40.2669908831001
150,734,41.23687629087282
151,726,40.88072516126832
152,741,41.35452579213674
153,753,41.99574767667096
154,739,41.45177915862336
155,746,41.81811914031069
156,737,41.26566219955132
157,768,42.98398157793232
158,745,41.095791029759454
159,745,41.25336030249245
160,747,41.745401048937616
161,755,42.89094939670643
162,746,41.171821969720625
163,740,40.74866049920832
164,756,43.14811466124064
165,745,41.90448190143122
166,719,41.38651787416122
167,747,42.41142940614358
168,732,40.10934596264865
169,756,42.46683417130679
170,739,41.473584161479565
171,734,40.96689359598537
172,742,41.622604842032416
173,752,41.353238949933974
174,722,41.444997930992876
175,734,40.61102101578096
176,756,41.467773362459766
177,751,41.75563247415875
178,717,39.98912335008025
179,745,41.729904405386705
180,739,41.5078235330297
181,740,41.73297098595801
182,750,41.89955246150735
183,737,41.09240598130874
184,737,41.36000546242695
185,749,41.97019262155538
186,750,41.626444887591894
187,755,42.125723250128225
188,762,42.442542681810345
189,750,42.28362184444052
190,704,38.74708106991605
191,745,41.97138075328334
192,725,40.18953639438564
193,704,39.06054265747266
194,750,42.09881120470179
195,766,43.333707712757736
196,752,42.19997648403176
197,753,42.27074034999683
198,723,40.07061564311199
199,744,41.497020240725824
200,740,40.86703534655267
201,754,42.206483768024164
202,752,42.47387963629222
203,759,42.36392728235445
204,738,41.057517040614094
205,756,42.29483059197572
206,753,41.97491604705668
207,727,40.4512567465818
208,765,42.11833974856889
209,729,40.66058963311094
210,734,40.842216982765024
211,746,40.89013017975111
212,741,41.2267934321413
213,727,40.82017342926783
214,721,41.03006986435998
215,744,41.65678249317629
216,752,42.30601945258797
217,747,42.09338189385522
218,752,42.151637341328666
219,761,42.52370632563549
220,744,41.43581895504692
221,740,41.5435490340647
222,741,41.17724347080527
223,745,41.47330429074009
224,737,41.00077374827422
225,736,41.07462867515047
226,728,40.527853541920464
227,758,42.48270587025041
228,722,40.07917587378132
229,751,41.96517608859696
230,731,40.98764867698504
231,733,41.044047406332616
232,739,42.052758973641446
233,747,41.0988199422439
234,746,41.974393600589345
235,744,41.637542824559574
236,741,41.73191816468775
237,761,41.967196978649284
238,766,43.14154375237972
239,753,42.13449635296557
240,746,41.55756149090958
241,720,40.401161841765216
242,763,42.45022525500681
243,761,43.08187536957303
244,757,42.03342843472553
245,726,40.17370381985945
246,721,40.426081394142855
247,725,41.0483012771237
248,741,42.01153300273976
249,743,41.455069524383944
250,753,42.57893962109643
251,761,42.32004335913014
252,741,41.33764547992964
253,764,43.15578769551924
254,767,43.02125810450909
255,752,41.89612612342467
256,738,40.7151716197864
257,745,41.72590313310919
258,744,41.189576719149116
259,748,42.35217988043056
260,732,41.32028211944618
261,739,41.107541388438065
262,733,40.65144230476891
263,702,39.462159468088466
264,769,43.607861187207945
265,724,40.8190086407737
266,733,40.355124716778356
267,751,42.80851155219244
268,719,40.1237167683303
269,743,40.81277402216436
270,763,42.336898649200506
271,746,41.10571253183644
272,740,41.64448556795218
273,763,42.3720284029512
274,757,41.7789877163231
275,739,41.50913551134972
276,733,41.51305755064393
277,734,41.507453126502696
278,736,40.936389533694076
279,725,41.14913132435082
280,777,43.50621172853123
281,748,42.69253959918315
282,747,41.79096910364599
283,752,42.631785114887215
284,760,41.99503191622324
285,761,43.19280186029893
286,739,40.21708203343592
287,747,42.57209424502434
288,714,39.51596540932477
289,742,41.36019883613366
290,747,41.579573002985775
291,733,40.3773359632855
292,733,40.95384947639931
293,743,42.04463428734886
294,757,42.21316295076559
295,727,40.665168353839164
296,754,42.459204858632106
297,749,40.79814479652161
298,713,39.8422190166962
299,748,41.884700420775914
300,749,41.746845443012596
301,753,41.32611816473565
302,748,42.29755275887728
303,738,41.717594968305775
304,734,41.093559254333755
305,781,43.34307249620949
306,733,40.53723453556544
307,744,41.99436312397576
308,757,42.30270983259935
309,738,40.950118719376334
310,706,39.68603202145411
311,738,40.78247776796309
312,735,41.02172069272379
313,740,41.86638834794313
314,745,41.59846774433676
315,711,39.68330778046902
316,763,43.191934236134244
317,757,43.298200577645765
318,758,42.337092365788294
319,730,41.23816970448647
320,753,42.82316020338132
321,747,43.11705224560813
322,728,40.69710360197491
323,744,42.11679189854143
324,757,42.05517256604678
325,743,40.73377659663119
326,743,41.60880727756233
327,768,43.61344162120447
328,763,42.52768052379366
329,755,41.18758269785481
330,715,39.72294912854936
331,744,42.42566961345814
332,737,40.68544023447891
333,736,40.599725339884024
334,747,42.496773196433324
335,744,41.483273753796375
336,756,42.03326209179106
337,710,39.99101568882208
338,744,41.42872761717881
339,750,41.95452803000944
340,749,41.51383921366917
341,760,42.8278677538943
342,746,42.22883785775945
343,772,42.77367811861387
344,742,41.07579601449467
345,742,41.46754032841793
346,740,41.421644915616746
347,736,41.45762652935712
348,742,41.83622443947517
349,755,43.36367818560398
350,756,43.05144868657867
351,740,41.59558691898837
352,743,41.791119018592596
353,756,41.988843737827104
354,731,40.77508890039661
355,763,42.93508711112951
356,756,43.30173934561557
357,758,41.83573583966103
358,738,41.07485434197975
359,748,41.0367036412953
360,739,41.58656649038691
361,743,41.22679839896485
362,757,41.66963749355511
363,741,42.169361599337634
364,730,40.160177338933224
365,732,41.70210932329734
366,745,41.999907023717086
367,726,40.64653473205475
368,727,40.00617132766923
369,744,41.3336446125454
370,747,41.95038701246388
371,725,40.491135107575055
372,735,41.48904393945251
373,764,42.75538781825148
374,736,41.283059427872786
375,739,41.23014333942006
376,779,43.62184086375246
377,763,42.68712602321475
378,735,40.71730808007814
379,757,42.666484391111034
380,736,41.63831978326056
381,744,41.547245386106134
382,755,42.03658972484878
383,751,41.955279698192136
384,772,43.432810328556535
385,738,41.19797912802968
386,758,42.365329970400985
387,732,40.05634695484312
388,745,41.83245484579119
389,733,40.74827837716011
390,739,40.833057695138834
391,740,41.128738556281775
392,746,41.43840187840312
393,752,42.43425984399923
394,752,41.63296421531615
395,751,41.97753219606286
396,707,38.930884044602536
397,760,42.29649497085911
398,732,40.81307395687848
399,735,41.072771913109555
400,713,40.24605953192655
401,733,40.91328927598612
402,739,41.49913007331423
403,741,41.4732336483442
404,732,41.24664616518037
405,727,41.150269598868206
406,721,39.997878193984235
407,728,40.44954429604477
408,753,42.837493310385156
409,735,40.55343092507216
410,761,42.93301501834371
411,751,41.66778319850449
412,741,40.65338784914883
413,743,41.41511416901582
414,725,39.84656902976437
415,752,41.873431741566925
416,761,42.86976894225472
417,733,40.7057438781274
418,730,40.90571700474648
419,737,40.15317425234279
420,734,41.34433239454599
421,720,39.86625966443235
422,757,42.16183293202416
423,748,41.773609928249506
424,746,41.96277932714289
425,730,40.40226140928298
426,728,40.950300617438735
427,758,42.41972331769727
428,738,41.17770231739379
429,742,41.48944062896128
430,758,42.449449524535986
431,734,42.030914082634574
432,755,42.20893440242551
433,759,43.003970220298754
434,722,39.87580651011183
435,711,39.212548013053365
436,736,40.70525185780955
437,730,40.683766148022265
438,743,41.76482078965509
439,748,41.962409260854336
440,737,40.61645492266126
441,766,42.53199518240928
442,761,42.49160284503023
443,734,41.08369493862926
444,772,43.81025777874173
445,734,40.95544842061083
446,733,40.70540440439126
447,735,40.63524042653487
448,747,41.75609878402426
449,762,42.376639293534524
450,735,41.263384525700424
451,734,40.76682102623697
452,741,41.445081071703015
453,745,42.19697082294587
454,747,41.62603297214259
455,736,40.86946689680351
456,773,44.146208589991616
457,734,41.022213595376044
458,747,40.89645894581005
459,757,42.15822164719924
460,748,41.693036076658494
461,751,41.837690500126534
462,756,42.70002873813368
463,707,38.493397359428535
464,770,42.91631705899431
465,761,43.07179669387396
