model,quantile_bin,rows,mean_predicted_risk,observed_unsafe_fraction
primary_source_prior_corrected,1,824,0.04216276635347023,0.0
primary_source_prior_corrected,2,823,0.044961900778469524,0.004860267314702308
primary_source_prior_corrected,3,823,0.049448865737018934,0.06804374240583232
primary_source_prior_corrected,4,823,0.07452774954043413,0.046172539489671933
primary_source_prior_corrected,5,823,0.08133856603713663,0.031591737545565005
primary_source_prior_corrected,6,823,0.08817540013172048,0.054678007290400975
primary_source_prior_corrected,7,823,0.22572544069653017,0.3973268529769137
primary_source_prior_corrected,8,823,0.3276479678197352,0.1652490886998785
primary_source_prior_corrected,9,823,0.34393057927401116,0.267314702308627
primary_source_prior_corrected,10,824,0.5202329217091162,0.2815533980582524
comparator_balanced_uncorrected,1,824,0.1434710340385926,0.0
comparator_balanced_uncorrected,2,823,0.15193078195478865,0.004860267314702308
comparator_balanced_uncorrected,3,823,0.16522165005174108,0.06804374240583232
comparator_balanced_uncorrected,4,823,0.23432411781636742,0.046172539489671933
comparator_balanced_uncorrected,5,823,0.25201065224645774,0.031591737545565005
comparator_balanced_uncorrected,6,823,0.26896212978645967,0.054678007290400975
comparator_balanced_uncorrected,7,823,0.5008065316361308,0.3973268529769137
comparator_balanced_uncorrected,8,823,0.6496510813301511,0.1652490886998785
comparator_balanced_uncorrected,9,823,0.6660550839324167,0.267314702308627
comparator_balanced_uncorrected,10,824,0.774591002208981,0.2815533980582524
