generation_seed,delta_auc,delta_ap,delta_recall,delta_unsafe,delta_regret
44751,-0.043684710351377,-0.019851864199291913,0.0,0,-0.11284825473344984
44752,-0.06124348473566643,-0.025588568051001737,0.0,0,0.0
44753,-0.03191094619666046,-0.014896552139924246,-0.05714285714285716,1,0.005979686828808284
44754,-0.05123736493551756,-0.028420818240249,-0.02631578947368418,0,0.0
44755,-0.053876244665718276,-0.02894624301824289,-0.027027027027027084,1,0.007589678190912941
44756,-0.028668610301263442,-0.018237159634514444,-0.04761904761904767,1,0.007340484896243171
44757,-0.03307254623044098,-0.019854793355024547,-0.07894736842105265,3,0.061192203709178106
44758,-0.03301287865046254,-0.01854844070357825,-0.08108108108108114,3,0.06089837286668276
44759,-0.0360909690177984,-0.021577742476235506,-0.04878048780487809,2,0.045887443717803844
44760,-0.03791946308724825,-0.02316586015322486,-0.050000000000000044,2,0.045820799478095586
44761,-0.04111111111111099,-0.02303422814243883,-0.05555555555555547,2,0.0454510019527653
44762,-0.03610675039246458,-0.020766942658670684,-0.05128205128205132,2,0.04507487555255507
44763,-0.04500261643118786,-0.023625637377023334,-0.05128205128205132,2,0.04505172857118955
44764,-0.033680227057710566,-0.01426886706358016,-0.05714285714285716,2,0.044175526527078346
44765,-0.038775510204081653,-0.01798972060609788,-0.05714285714285716,2,0.04493738053906904
44766,-0.03866666666666663,-0.02176277753371153,-0.04444444444444451,2,0.04553655354517794
44767,-0.03611023123218249,-0.02127114411375669,-0.04878048780487809,2,0.04437411559210902
44768,-0.038109756097560954,-0.02340184187075045,-0.04878048780487809,2,0.04406374852308581
44769,-0.045548045841904194,-0.029364485979233856,-0.04878048780487798,1,-0.02638089554532741
44770,-0.04722064662507086,-0.031842040941221506,-0.07317073170731703,2,0.027606850897869628
44771,-0.041446208112874805,-0.023219115483127994,-0.0714285714285714,1,0.014468930158964222
44772,-0.043633540372670865,-0.023847348865374263,-0.050000000000000044,1,-0.020688039073047337
44773,-0.029559915164368955,-0.017721150183520218,-0.021739130434782594,1,0.03824490322401797
44774,-0.03247386759581872,-0.017111016944717783,0.0,0,-0.01964827092274052
44775,-0.03193639671203341,-0.016283851114176184,-0.07317073170731703,3,0.12341452552028206
44776,-0.03025898520084569,-0.01669567585946241,-0.045454545454545525,2,0.062099349166268664
44777,-0.03100198412698396,-0.015533156693772976,-0.07142857142857151,2,0.09391070765004095
44778,-0.027350427350427475,-0.014762305865525405,-0.04166666666666674,2,0.06309305349026656
44779,-0.03128078817733981,-0.01443718111759218,-0.02499999999999991,1,0.023342453209001857
44780,-0.02815964523281589,-0.013433437689670924,-0.022727272727272707,1,0.02780575683228015
44781,-0.02821869488536166,-0.012331338737342712,0.0,0,-0.03340520095504984
44782,-0.02715952544367084,-0.012422615283855742,-0.042553191489361764,2,0.058700526018838906
44783,-0.027204914436156247,-0.01105196776916495,-0.023255813953488302,0,0.016823867690158312
44784,-0.024057649667405645,-0.012110069811441526,0.0,2,0.03256612369122491
44785,-0.021490626428898096,-0.011240516175744064,-0.01851851851851849,2,0.10645054348035354
44786,-0.025974025974025983,-0.014310193499578017,-0.04081632653061218,2,0.10593864365282502
44787,-0.022005444646097994,-0.012710812902349378,-0.03448275862068961,4,0.2471496940413137
44788,-0.013180827886710156,-0.007441688176851868,-0.016666666666666607,1,0.029171166452237274
44789,-0.020740740740740726,-0.011565462195283038,-0.03703703703703698,3,0.15533819073421984
44790,-0.014092082616179002,-0.007329616790664517,-0.017857142857142794,2,0.08032635110518127
