generation_seed,delta_auc,delta_ap,delta_recall,delta_unsafe,delta_regret
44711,-0.04400653461302839,-0.03479505085339413,-0.0847457627118644,4,0.0664872820955835
44712,-0.039877300613496924,-0.03124821288638613,-0.048387096774193616,2,0.03822805116004499
44713,-0.04348260695721706,-0.03620127459330563,-0.08196721311475408,5,0.07796046129975787
44714,-0.04180752760874462,-0.032938015078792904,-0.0980392156862745,5,0.11500990070381627
44715,-0.04515337423312893,-0.03174510220623422,-0.06000000000000005,3,0.05255973559619881
44716,-0.03747021875676848,-0.0296902863673581,-0.09259259259259256,5,0.11819010020402376
44717,-0.03478717813977927,-0.027165647483499422,-0.07272727272727275,4,0.08184092045049784
44718,-0.034591836734694015,-0.02737833832803932,-0.0892857142857143,5,0.11673600591751254
44719,-0.04279137894957097,-0.03067402888743287,-0.09259259259259256,5,0.09136117772841085
44720,-0.04556149732620318,-0.037882835725566055,-0.054545454545454564,3,0.029425498226496982
44721,-0.0401888530631046,-0.03579578865017047,-0.07692307692307687,4,0.03695715988532111
44722,-0.03709296838131182,-0.04174503269163887,-0.06153846153846154,4,-0.00031535789634462574
44723,-0.03294346978557505,-0.037733341196712566,-0.04999999999999993,3,0.006271979022675955
44724,-0.03637501117168651,-0.04184627174020106,-0.07462686567164178,5,0.09859814999843408
44725,-0.050838574423480054,-0.04951303299183685,-0.0625,5,0.09924273535160227
44726,-0.03900800826659778,-0.03893556824005956,-0.061224489795918435,3,-0.0007335876607624803
44727,-0.02044109736417421,-0.01531595732568658,-0.038461538461538436,3,0.08783685046796541
44728,-0.017222525970475577,-0.01251496617711123,-0.03389830508474578,2,0.005910230347553114
44729,-0.027339901477832496,-0.017293292759899215,-0.017241379310344862,3,-0.12059103672751015
44730,-0.02388951101157144,-0.016598317973032795,-0.052631578947368474,3,-0.007074315516958918
44731,-0.02470461868958107,-0.01408664000567239,-0.020408163265306034,1,-0.15200340383522515
44732,-0.031135531135531136,-0.017562512782425543,-0.04761904761904767,2,-0.10877745628678587
44733,0.003821656050955413,0.002207110633881071,0.02857142857142858,0,0.0
44734,0.005283605283605386,0.003587479243348013,0.02564102564102566,-1,-0.04082850918971814
44735,0.004645323289391157,0.0029412329331417464,0.022222222222222254,-1,-0.09644015717591303
44736,-0.012042083914311164,-0.008211200320599743,-0.020408163265306145,0,-0.09107714498952157
44737,-0.03604118993135008,-0.021203226207661907,-0.08695652173913049,3,0.21234423290385374
44738,-0.03225035833731482,-0.019386290704301534,-0.09615384615384615,5,0.33654015656439906
44739,-0.03656019656019649,-0.02063894639785213,-0.10909090909090913,6,0.36126234524876655
44740,-0.035729847494553435,-0.02020477406268001,-0.06666666666666665,3,0.21831115122775374
44741,-0.024834704079987002,-0.013506566307149803,-0.07692307692307687,2,0.03840014312059192
44742,-0.008063102541630007,-0.004312902255781181,-0.02857142857142858,0,0.0047273481962408215
44743,0.009494949494949556,0.03204129518882182,-0.03333333333333344,1,0.010935743798697939
44744,0.0003834355828220559,0.023714455364346576,-0.03125,1,0.007574581759759003
44745,-0.007301537983532835,0.012212972965415847,0.024390243902439046,0,0.0
44746,-0.02450898103072019,0.0034065073725567108,0.05405405405405406,0,0.0
44747,-0.04192546583850931,-0.012426634280881255,0.07499999999999996,0,0.019370635194240204
44748,-0.03725871614544363,-0.009592367791024903,0.07317073170731703,-1,-0.1195199874970172
44749,-0.03755668934240364,-0.011810196352545876,0.0714285714285714,-1,-0.1199542584287272
44750,-0.04338235294117654,-0.01977414479202333,-0.025000000000000022,0,-0.04139824959646071
