seed,rows,unsafe_rows,action_true_positives,context_true_positives,delta_true_positives
44351,285,93,79,79,0
44352,288,92,79,81,2
44353,288,84,73,70,-3
44354,273,75,62,65,3
44355,291,82,70,70,0
44356,279,77,66,65,-1
44357,276,59,34,52,18
44358,270,67,37,59,22
44359,276,82,43,66,23
44360,270,75,35,59,24
44361,270,76,34,56,22
44362,264,70,38,51,13
44363,264,76,42,53,11
44364,279,93,56,69,13
44365,264,82,43,59,16
44366,252,67,40,44,4
44367,252,70,39,47,8
44368,246,68,38,46,8
44369,252,70,40,44,4
44370,249,59,31,35,4
44371,249,65,37,41,4
44372,246,61,33,37,4
44373,243,60,36,37,1
44374,243,60,33,37,4
44375,273,78,50,56,6
44376,273,81,49,55,6
44377,267,58,32,38,6
44378,237,49,26,32,6
44379,246,52,27,33,6
44380,228,45,21,27,6
44381,234,48,24,30,6
44382,243,52,21,26,5
44383,237,58,29,34,5
44384,237,53,25,28,3
44385,234,59,29,34,5
44386,237,62,34,40,6
44387,234,60,31,35,4
44388,216,54,29,30,1
44389,237,55,33,36,3
44390,252,62,39,42,3
