bootstrap,unsafe_recall,safe_specificity,unsafe_precision,negative_predictive_value,alert_coverage,balanced_accuracy
1,0.8368167202572347,0.6779498424009867,0.3069890887643763,0.9605825242718447,0.3970261093548765,0.7573832813291107
2,0.815267175572519,0.683356070941337,0.31513720861611094,0.9539135402780423,0.3922453703703704,0.749311623256928
3,0.8284023668639053,0.6798870664157032,0.319908597543559,0.9561353753072415,0.39829351535836177,0.7541447166398043
4,0.8306922435362802,0.6849517167381974,0.29775784753363227,0.9617702448210923,0.38648180242634317,0.7578219801372388
5,0.8037383177570093,0.6848312322082147,0.30741733690795353,0.9524886877828054,0.3875995843436093,0.744284774982612
6,0.8120481927710843,0.6839244462562848,0.30296673658975126,0.9555724321245491,0.3878428637842864,0.7479863195136845
7,0.8057395143487859,0.6891582491582492,0.3217749044960329,0.9509384872700242,0.38740892531876137,0.7474488817535175
8,0.8294069861900893,0.6854113541806469,0.30341753343239225,0.960504043633628,0.3875835061045842,0.7574091701853681
9,0.7985915492957747,0.6829663649871673,0.3257684573398449,0.9464619992512168,0.39453700555366655,0.740778957141471
10,0.8501683501683501,0.6847885777045579,0.30550514216575925,0.9655439411536972,0.3902266288951841,0.767478463936454
11,0.808,0.6827834913850674,0.3187033849684452,0.9508928571428571,0.3933649289099526,0.7453917456925337
12,0.8067047075606276,0.6914552736982643,0.3285880302149913,0.9502752293577982,0.387089518668466,0.749079990629446
13,0.8172549019607843,0.6811594202898551,0.304856641310708,0.9561122621962704,0.3916580726481036,0.7492071611253197
14,0.8115264797507789,0.688189185598512,0.30746532900560636,0.9553670232386573,0.3846328453070026,0.7498578326746455
15,0.8082089552238806,0.6864200863930886,0.317968291250734,0.9518906776488206,0.3893461362597165,0.7473145208084846
16,0.7919463087248322,0.6875674217907227,0.3142941698727434,0.9481219784306434,0.385862738380724,0.7397568652577775
17,0.7899408284023669,0.6889307837328306,0.31616341030195383,0.9474074074074074,0.3848257006151743,0.7394358060675987
18,0.8258333333333333,0.6821674080064699,0.29590922663481634,0.9603415559772296,0.388560157790927,0.7540003706699017
19,0.8406148867313916,0.6833265610185562,0.3076695291679005,0.9624189240747806,0.39180879452372663,0.7619707238749739
20,0.8139870223503965,0.6885135135135135,0.32877111240535817,0.9518027274425556,0.39080459770114945,0.751250267931955
21,0.8108108108108109,0.68887072605912,0.3210463733650416,0.9525334337916745,0.38787040239824744,0.7498407684349655
22,0.8134831460674158,0.6888619854721549,0.3195057369814651,0.9536312849162011,0.3876154635648307,0.7511725657697854
23,0.8083969465648855,0.6844673353212253,0.312666076173605,0.9526504433125825,0.38984806629834257,0.7464321409430554
24,0.8223787167449139,0.6872063364209962,0.310854776693286,0.9575383464272353,0.3874183568236507,0.754792526582955
25,0.8219852337981952,0.6867273468278766,0.30290205562273276,0.9588391502276176,0.38554778554778557,0.7543562903130359
26,0.8185298621745789,0.6847074468085106,0.3107558139534884,0.9559970293353138,0.3897575345569907,0.7516186544915447
27,0.8022304832713755,0.6863433743077131,0.3172596295207292,0.9502524780250607,0.38877457704618196,0.7442869287895443
28,0.8122332859174964,0.6930758988015979,0.33130258195532347,0.9517279210093252,0.3866083445491252,0.7526545923595471
29,0.796231681786462,0.6862692565304755,0.3275911570485214,0.9460757156048015,0.3914362778152394,0.7412504691584687
30,0.8292496171516079,0.6819352215747391,0.31574344023323614,0.9575642245480495,0.3949337938975245,0.7555924193631736
31,0.8025055268975682,0.6902557014512785,0.327027027027027,0.9490687951349297,0.38756983240223464,0.7463806141744234
32,0.8211708099438653,0.6822693133047211,0.30179781903919833,0.9580037664783427,0.38986556359875907,0.7517200616242932
33,0.8118811881188119,0.6867970005356187,0.3130690161527166,0.9540550595238095,0.387769046805603,0.7493390943272153
34,0.8253968253968254,0.6873300706905927,0.32193396226415094,0.9563079250993002,0.3908284364558129,0.756363448043709
35,0.8234804329725229,0.6827899518973811,0.29408266428783825,0.9601653513716648,0.3872193436960276,0.7531351924349521
36,0.8047722342733189,0.6920126044663653,0.33115144302290983,0.9492576583348995,0.38712278276894724,0.7483924193698421
37,0.8338257016248154,0.6854097268487674,0.32349570200573063,0.9580927547029242,0.3939496557173496,0.7596177142367915
38,0.8201058201058201,0.6869009584664537,0.31568228105906315,0.955909596146721,0.3890209394453877,0.7535033892861369
39,0.8246913580246914,0.6850202429149798,0.30035971223021585,0.9597277368122519,0.3867826086956522,0.7548558004698356
40,0.8070038910505837,0.6872389165880609,0.3088147706968434,0.9536275243081526,0.3857110039053526,0.7471214038193223
41,0.8066378066378066,0.6860512403416023,0.3255678509027373,0.9497091386751736,0.3918749286773936,0.7463445234897044
42,0.8212801330008312,0.6810049986845567,0.289481394667448,0.9601261127596439,0.38762067007382167,0.751142565842694
43,0.8036764705882353,0.6904160574239,0.3194038573933372,0.9511078557040835,0.3852302150174491,0.7470462640060677
