trial,true_positives
1,1883
2,1875
3,1881
4,1893
5,1874
6,1882
7,1884
8,1884
9,1874
10,1879
11,1883
12,1891
13,1877
14,1886
15,1872
16,1897
17,1883
18,1874
19,1889
20,1879
21,1874
22,1879
23,1904
24,1885
25,1880
26,1892
27,1886
28,1878
29,1884
30,1872
31,1878
32,1899
33,1890
34,1887
35,1899
36,1866
37,1879
38,1877
39,1889
40,1890
41,1895
42,1895
43,1882
44,1896
45,1887
46,1884
47,1886
48,1874
49,1881
50,1893
51,1868
52,1879
53,1883
54,1873
55,1868
56,1878
57,1889
58,1873
59,1888
60,1864
61,1883
62,1863
63,1886
64,1866
65,1885
66,1873
67,1879
68,1878
69,1878
70,1873
71,1881
72,1871
73,1881
74,1877
75,1884
76,1867
77,1886
78,1879
79,1875
80,1873
81,1880
82,1880
83,1881
84,1873
85,1885
86,1866
87,1885
88,1879
89,1879
90,1886
91,1864
92,1888
93,1891
94,1884
95,1882
96,1871
97,1877
98,1881
99,1875
100,1887
101,1894
102,1876
103,1873
104,1875
105,1883
106,1897
107,1888
108,1883
109,1884
110,1873
111,1875
112,1870
113,1877
114,1877
115,1872
116,1874
117,1877
118,1887
119,1895
120,1870
121,1874
122,1872
123,1885
124,1885
125,1868
126,1885
127,1885
128,1881
129,1885
130,1874
131,1896
132,1881
133,1885
134,1888
135,1873
136,1870
137,1889
138,1888
139,1876
140,1884
141,1883
142,1882
143,1868
144,1875
145,1877
146,1895
147,1881
148,1875
149,1877
150,1876
151,1884
152,1882
153,1887
154,1872
155,1876
156,1880
157,1873
158,1867
159,1889
160,1876
161,1883
162,1882
163,1876
164,1878
165,1879
166,1876
167,1881
168,1884
169,1895
170,1890
171,1886
172,1885
173,1873
174,1893
175,1887
176,1879
177,1876
178,1903
179,1879
180,1888
181,1873
182,1873
183,1884
184,1884
185,1875
186,1886
187,1893
188,1861
189,1879
190,1878
191,1877
192,1875
193,1884
194,1875
195,1885
196,1883
197,1872
198,1872
199,1879
200,1877
201,1881
202,1870
203,1876
204,1893
205,1870
206,1879
207,1884
208,1882
209,1877
210,1872
211,1870
212,1873
213,1889
214,1875
215,1884
216,1883
217,1884
218,1879
219,1892
220,1863
221,1882
222,1880
223,1874
224,1882
225,1885
226,1886
227,1884
228,1884
229,1876
230,1866
231,1887
232,1881
233,1880
234,1866
235,1883
236,1875
237,1877
238,1879
239,1896
240,1884
241,1869
242,1879
243,1871
244,1882
245,1870
246,1886
247,1890
248,1885
249,1886
250,1875
251,1881
252,1881
253,1891
254,1865
255,1881
256,1891
257,1890
258,1885
259,1881
260,1870
261,1880
262,1868
263,1873
264,1882
265,1874
266,1877
267,1887
268,1896
269,1879
270,1886
271,1874
272,1877
273,1872
274,1880
275,1878
276,1866
277,1885
278,1889
279,1887
280,1879
281,1879
282,1870
283,1871
284,1881
285,1876
286,1855
287,1883
288,1879
289,1888
290,1874
291,1892
292,1882
293,1880
294,1884
295,1875
296,1876
297,1883
298,1887
299,1885
300,1869
301,1882
302,1874
303,1882
304,1881
305,1887
306,1877
307,1863
308,1894
309,1874
310,1878
311,1864
312,1891
313,1878
314,1880
315,1883
316,1880
317,1881
318,1883
319,1883
320,1894
321,1877
322,1874
323,1885
324,1874
325,1880
326,1871
327,1873
328,1864
329,1867
330,1879
331,1889
332,1888
333,1882
334,1880
335,1886
336,1874
337,1875
338,1893
339,1879
340,1873
341,1870
342,1890
343,1878
344,1868
345,1874
346,1875
347,1882
348,1887
349,1880
350,1868
351,1871
352,1882
353,1883
