dose,trial,flipped_source_unsafe_rows,unsafe_selected,total_regret
0.05,1,82,323,15.161576106369107
0.05,2,82,325,15.195242320632861
0.05,3,82,323,15.161576106369107
0.05,4,82,327,15.227445119461581
0.05,5,82,328,15.242029730777546
0.05,6,82,327,15.227445119461581
0.05,7,82,321,15.12671251805837
0.05,8,82,327,15.227445119461581
0.05,9,82,323,15.161576106369107
0.05,10,82,327,15.227445119461581
0.05,11,82,322,15.144049682330769
0.05,12,82,327,15.227445119461581
0.05,13,82,325,15.195242320632861
0.05,14,82,321,15.12671251805837
0.05,15,82,325,15.195242320632861
0.05,16,82,325,15.195242320632861
0.05,17,82,324,15.178820427483283
0.05,18,82,323,15.161576106369107
0.05,19,82,325,15.195242320632861
0.05,20,82,325,15.195242320632861
0.05,21,82,323,15.161576106369107
0.05,22,82,327,15.227445119461581
0.05,23,82,323,15.161576106369107
0.05,24,82,325,15.195242320632861
0.05,25,82,324,15.178820427483283
0.05,26,82,325,15.195242320632861
0.05,27,82,323,15.161576106369107
0.05,28,82,328,15.242029730777546
0.05,29,82,323,15.161576106369107
0.05,30,82,328,15.242029730777546
0.05,31,82,322,15.144049682330769
0.05,32,82,327,15.227445119461581
0.05,33,82,325,15.195242320632861
0.05,34,82,321,15.12671251805837
0.05,35,82,323,15.161576106369107
0.05,36,82,323,15.161576106369107
0.05,37,82,323,15.161576106369107
0.05,38,82,323,15.161576106369107
0.05,39,82,324,15.178820427483283
0.05,40,82,325,15.195242320632861
0.05,41,82,323,15.161576106369107
0.05,42,82,323,15.161576106369107
0.05,43,82,323,15.161576106369107
0.05,44,82,321,15.12671251805837
0.05,45,82,323,15.161576106369107
0.05,46,82,323,15.161576106369107
0.05,47,82,323,15.161576106369107
0.05,48,82,322,15.144049682330769
0.05,49,82,321,15.12671251805837
0.05,50,82,325,15.195242320632861
0.05,51,82,325,15.195242320632861
0.05,52,82,324,15.178820427483283
0.05,53,82,321,15.12671251805837
0.05,54,82,324,15.178820427483283
0.05,55,82,323,15.161576106369107
0.05,56,82,325,15.195242320632861
0.05,57,82,325,15.195242320632861
0.05,58,82,326,15.210417058450277
0.05,59,82,325,15.195242320632861
0.05,60,82,322,15.144049682330769
0.05,61,82,323,15.161576106369107
0.05,62,82,323,15.161576106369107
0.05,63,82,323,15.161576106369107
0.05,64,82,325,15.195242320632861
0.05,65,82,323,15.161576106369107
0.05,66,82,324,15.178820427483283
0.05,67,82,326,15.210417058450277
0.05,68,82,323,15.161576106369107
0.05,69,82,323,15.161576106369107
0.05,70,82,321,15.12671251805837
0.05,71,82,323,15.161576106369107
0.05,72,82,323,15.161576106369107
0.05,73,82,324,15.178820427483283
0.05,74,82,323,15.161576106369107
0.05,75,82,323,15.161576106369107
0.05,76,82,321,15.12671251805837
0.05,77,82,327,15.227445119461581
0.05,78,82,324,15.178820427483283
0.05,79,82,323,15.161576106369107
0.05,80,82,324,15.178820427483283
0.05,81,82,321,15.12671251805837
0.05,82,82,323,15.161576106369107
0.05,83,82,323,15.161576106369107
0.05,84,82,323,15.161576106369107
0.05,85,82,325,15.195242320632861
0.05,86,82,323,15.161576106369107
0.05,87,82,324,15.178820427483283
0.05,88,82,326,15.210417058450277
0.05,89,82,322,15.144049682330769
0.05,90,82,325,15.195242320632861
0.05,91,82,321,15.12671251805837
0.05,92,82,323,15.161576106369107
0.05,93,82,322,15.144049682330769
0.05,94,82,323,15.161576106369107
0.05,95,82,323,15.161576106369107
0.05,96,82,323,15.161576106369107
0.05,97,82,322,15.144049682330769
0.05,98,82,325,15.195242320632861
0.05,99,82,322,15.144049682330769
0.05,100,82,321,15.12671251805837
0.05,101,82,323,15.161576106369107
0.05,102,82,324,15.178820427483283
0.05,103,82,323,15.161576106369107
0.05,104,82,323,15.161576106369107
