seed,contexts,baseline_unsafe,primary_unsafe,baseline_regret,primary_regret,changed_actions,delta_unsafe_primary_minus_baseline,delta_regret_primary_minus_baseline
44471,71,24,14,1.3280186603526534,0.35175382666673227,40,-10,-0.9762648336859211
44472,75,25,13,1.3944433780418053,0.35150367012335215,35,-12,-1.0429397079184533
44473,73,24,16,1.2343236046432229,0.4466890767214208,34,-8,-0.7876345279218021
44474,73,26,14,1.210916553411996,0.3647474878608932,30,-12,-0.8461690655511029
44475,74,25,11,1.1863322827966356,0.3023700825927571,33,-14,-0.8839622002038785
44476,71,16,10,0.9526031398896287,0.24275197993318764,34,-6,-0.7098511599564411
44477,72,26,7,1.5973876416173918,0.1956547910423598,37,-19,-1.401732850575032
44478,73,23,5,1.54461038891232,0.1455424996543361,48,-18,-1.3990678892579838
44479,73,23,8,1.3573078361329127,0.19608561982709788,52,-15,-1.1612222163058148
44480,76,24,7,1.4377036112485881,0.1623235401599823,36,-17,-1.2753800710886058
44481,76,16,9,0.8364458975339722,0.20950979272793954,27,-7,-0.6269361048060327
44482,76,15,11,0.9549169229921627,0.2777307021937874,43,-4,-0.6771862207983752
44483,78,16,12,0.9654620712074462,0.2400553214878362,39,-4,-0.72540674971961
44484,80,14,14,0.6563655122891122,0.2718973751054134,42,0,-0.3844681371836988
44485,80,20,13,1.07957623944937,0.25540825399643663,50,-7,-0.8241679854529333
44486,81,19,11,1.359853537765005,0.24053138124593001,53,-8,-1.119322156519075
44487,80,20,11,1.5171741235024478,0.23269459072176,57,-9,-1.284479532780688
44488,80,20,11,1.6644938313757274,0.22965435344488175,54,-9,-1.4348394779308455
44489,79,13,10,0.9026652574724696,0.22885126455719412,48,-3,-0.6738139929152756
44490,79,16,8,1.1508107449279152,0.18253268132393388,52,-8,-0.9682780636039814
44491,79,14,10,1.055155169760008,0.2427761254895888,50,-4,-0.8123790442704191
44492,78,15,11,1.0316937532825208,0.29319799405549707,55,-4,-0.7384957592270237
44493,78,17,11,1.1504381932585543,0.2629702186009488,56,-6,-0.8874679746576055
44494,77,14,11,0.8295152925010131,0.2902266429160212,52,-3,-0.5392886495849919
44495,78,15,15,1.130394379668921,0.5420503002137661,59,0,-0.588344079455155
44496,80,17,11,1.137932730171656,0.29950810978849457,59,-6,-0.8384246203831613
44497,79,19,11,1.5225376333324847,0.2706753928750597,55,-8,-1.2518622404574251
44498,79,20,11,1.467409989988359,0.27005339737342166,48,-9,-1.1973565926149374
44499,78,19,12,1.357097901897038,0.27361767022023353,41,-7,-1.0834802316768044
44500,79,25,9,2.008943162330726,0.23346899282818154,46,-16,-1.7754741695025447
44501,79,18,8,1.1931324539984896,0.2132282863085226,42,-10,-0.9799041676899669
44502,77,21,6,1.3065051837318384,0.1379960499785858,39,-15,-1.1685091337532527
44503,78,20,6,1.5301206344534928,0.1386442096440304,48,-14,-1.3914764248094624
44504,79,14,6,0.7125095190143342,0.14391945111989748,56,-8,-0.5685900678944368
44505,77,19,6,1.2706558691731424,0.1462470210894094,41,-13,-1.124408848083733
44506,82,22,6,1.5459569736382162,0.1450653047805982,44,-16,-1.4008916688576178
44507,82,26,8,1.8116274433551411,0.3449458067241937,44,-18,-1.4666816366309474
44508,81,29,10,2.006820769189536,0.4137144468602948,41,-19,-1.5931063223292412
44509,81,32,10,2.279772776821509,0.3816310557220555,47,-22,-1.8981417210994533
44510,79,20,10,1.1861337659170013,0.3856566559725545,33,-10,-0.8004771099444468
