trial,unsafe_selected,total_regret
1,734,41.95453997525777
2,691,38.79604046357232
3,742,41.599905099465666
4,740,41.308577393198206
5,713,41.16658231819539
6,732,41.95179181636454
7,737,42.127099363821195
8,721,41.71365912800144
9,757,43.43243203550283
10,732,39.87021786914051
11,744,41.99522478301141
12,720,41.042416463804955
13,733,42.01794208732071
14,733,41.16611396125076
15,700,40.5613453820923
16,719,40.93396147956095
17,718,41.45153095345919
18,712,41.140777535073276
19,711,40.85241817350852
20,755,42.88016656846607
21,721,40.59610458278573
22,722,42.259893299315365
23,739,42.452088180846786
24,737,42.93967950898362
25,725,40.951388272316315
26,713,39.210984017804805
27,736,43.17603716875022
28,744,42.248212804397554
29,734,41.85978978938044
30,701,39.90293728329251
31,750,42.600469789338284
32,713,40.33215623800425
33,733,41.03223812271229
34,738,42.442958751971446
35,719,40.97077093404208
36,724,41.18775593477021
37,696,40.372307924615306
38,761,43.63060087162117
39,743,42.65602140423977
40,696,39.71647090055444
41,741,41.71720178489326
42,755,42.272650442311814
43,731,42.03949017361988
44,758,42.700699245189746
45,722,41.53045457346673
46,749,41.72580169765956
47,721,40.74406060503794
48,745,42.08407079834701
49,726,41.952310857499256
50,728,41.32756343054292
51,711,40.099289108159056
52,738,41.951704758618355
53,745,42.37508552072059
54,744,42.8050316321967
55,723,40.371758972121384
56,711,38.99114183289881
57,709,40.72529236853077
58,723,41.08433923792556
59,728,40.62024819524484
60,736,40.90203778795681
61,734,41.93672152617322
62,690,38.86456796182872
63,730,41.885961335382376
64,731,41.31809206454166
65,731,41.263873354446616
66,696,40.210307064004
67,734,42.68212639038396
68,715,41.18387082552752
69,733,41.72441279207399
70,736,41.23517739868877
71,729,40.56583512119476
72,739,42.054058458803134
73,718,40.31247852707409
74,731,41.48151737351533
75,697,40.0860971867569
76,726,41.775730220659575
77,740,42.14234722541535
78,696,39.745132090520784
79,754,42.72198805347129
80,717,40.148261430700096
81,716,41.51600387737966
82,736,41.60003180398586
83,723,40.84001441496522
84,704,39.085890491310465
85,705,40.55868939606071
86,703,40.285678383420404
87,728,41.11533315520124
88,721,40.624928835339745
89,709,39.83904971054847
90,759,42.53059732041993
91,727,41.62067083197189
92,735,42.14903591993025
93,732,41.458392607673744
94,660,37.983249937685976
95,689,38.06216455732947
96,716,40.91600914550192
97,725,40.94850941326019
98,744,42.97297531194894
99,722,40.640639026881566
100,714,40.55724422587118
101,733,41.81987677717145
102,746,42.06713991284513
103,741,41.955756531233206
104,744,42.20284184886025
105,753,43.764848016998044
106,740,42.4695553137639
107,747,42.81014502679426
108,710,40.08520218253892
109,694,39.760391765674584
110,734,41.62218312735634
111,764,44.11967340792412
112,721,41.71094289510425
113,737,41.506794798072974
114,751,42.84852600105787
115,699,39.24520069964788
116,720,40.317667056240026
117,721,40.65753305904206
118,727,41.49258604486118
119,733,40.885101181691
120,763,43.864021160860815
121,742,42.33176380732344
122,722,41.318583747066484
123,718,40.583680991545705
124,742,42.358080981403184
125,732,41.158729207400235
126,709,39.28495224257773
127,740,42.709425842748196
128,719,41.059347050320085
129,735,41.69430270245044
130,709,40.69289886091484
131,698,39.17162452242968
132,742,42.30191949814124
133,722,40.68872311683233
134,748,42.25583491966144
135,732,41.62227904092011
136,710,41.4220420661533
137,718,39.685845031149995
138,747,42.76202815026421
139,720,41.11702636463243
140,737,42.110043152965794
141,743,40.90848162367721
142,727,40.64678436670211
143,749,43.497634028237286
144,723,40.443012766411684
145,725,40.44482088307235
146,747,42.612754217117335
147,736,41.84757183413305
148,714,40.66013087597537
149,740,42.03201047129222
150,729,41.90416004472473
151,713,39.66880377149429
152,728,41.087637728754835
153,709,40.90370922601402
154,723,40.434193873860956
155,711,39.63389819602188
156,730,42.05959355317151
157,703,39.17998788092052
158,767,43.4836359780666
