condition,true_class,magnitude,raw_parameter_value,population_size,population_replicates,q_hat,q_wilson_low,q_wilson_high,mean_hard_accuracy,std_hard_accuracy,mean_coverage,std_coverage,mean_selective_accuracy,std_selective_accuracy,fail_hard_fraction,fail_coverage_fraction,fail_selective_fraction
measurement_noise_0.750,measurement_noise,0.75,,100,50,0.0,0.0,0.07135003417431873,0.8176,0.03728325115016835,0.5558,0.04682097907597248,0.9358073557053351,0.035252272172224944,1.0,1.0,0.58
measurement_noise_0.800,measurement_noise,0.8,,100,50,0.0,0.0,0.07135003417431873,0.8662,0.03492791410424433,0.656,0.045936957688038654,0.9719299533025867,0.022263522718332724,0.82,1.0,0.1
measurement_noise_0.850,measurement_noise,0.85,,100,50,0.18,0.0977008273245379,0.3079631945470261,0.9184,0.03086243340889319,0.7512,0.042792331947083574,0.9839522992046301,0.01802704556841126,0.18,0.82,0.06
measurement_noise_0.900,measurement_noise,0.9,,100,50,0.88,0.7619492111337642,0.9438247628937535,0.9376,0.020360024858651248,0.8304,0.031033885364490314,0.9870398980447138,0.010985955894888856,0.02,0.1,0.0
measurement_noise_0.950,measurement_noise,0.95,,100,50,0.98,0.8950431352816304,0.9964608319110234,0.9584,0.025262701392223526,0.8706,0.031194583517276327,0.9921350425610347,0.010936442420661701,0.02,0.0,0.0
measurement_noise_1.000,measurement_noise,1.0,,100,50,1.0,0.9286499658256813,1.0,0.973,0.016567733578204576,0.9114,0.03090538556858427,0.9942786614710807,0.0081186940492669,0.0,0.0,0.0
measurement_noise_1.050,measurement_noise,1.05,,100,50,1.0,0.9286499658256813,1.0,0.9803999999999999,0.013241863115721689,0.9366,0.027301042814799382,0.9952929318566464,0.0068595702728688444,0.0,0.0,0.0
measurement_noise_1.100,measurement_noise,1.1,,100,50,1.0,0.9286499658256813,1.0,0.983,0.01581138830084191,0.9544,0.021396165973541766,0.9951313126400693,0.007507409929877277,0.0,0.0,0.0
process_disturbance_2.20,process_disturbance,2.2,,100,50,0.0,0.0,0.07135003417431873,0.7172,0.04389412121857573,0.633,0.044043114312765703,0.9004197642884604,0.038793708301999345,1.0,1.0,0.9
process_disturbance_2.30,process_disturbance,2.3,,100,50,0.0,0.0,0.07135003417431873,0.766,0.05138887356744271,0.683,0.0498262286474151,0.9306656334526906,0.030827105183364047,1.0,0.98,0.72
process_disturbance_2.40,process_disturbance,2.4,,100,50,0.0,0.0,0.07135003417431873,0.8154,0.03435766260373129,0.7354,0.04708697987203456,0.9465963877294014,0.027494706528811787,1.0,0.9,0.46
process_disturbance_2.50,process_disturbance,2.5,,100,50,0.04,0.011038652660826579,0.13460337877954667,0.8364,0.03336624225844108,0.7654,0.039393877075256364,0.9488956513811931,0.021056977751002952,0.94,0.8,0.54
process_disturbance_2.60,process_disturbance,2.6,,100,50,0.18,0.0977008273245379,0.3079631945470261,0.8716,0.032910515657101576,0.8026,0.04044699226980257,0.9673508706189756,0.018736374549671697,0.72,0.46,0.18
process_disturbance_2.70,process_disturbance,2.7,,100,50,0.54,0.40398634328388083,0.6703056539821737,0.901,0.029709477632979178,0.8444,0.03918350340099147,0.9761999287655144,0.017909126157971588,0.44,0.12,0.08
process_disturbance_2.80,process_disturbance,2.8,,100,50,0.92,0.811614974549363,0.9684509967442093,0.9288,0.021819294962327727,0.8768,0.033529761376412816,0.9840037744820492,0.013234925369334639,0.08,0.02,0.0
process_disturbance_2.90,process_disturbance,2.9,,100,50,0.98,0.8950431352816304,0.9964608319110234,0.9418,0.0247180013722132,0.8968,0.03106543456141885,0.984852275874798,0.013010119684950734,0.02,0.0,0.0
process_disturbance_3.00,process_disturbance,3.0,,100,50,1.0,0.9286499658256813,1.0,0.954,0.020503857277724736,0.9206,0.02838582572413238,0.9895642733417647,0.00948918411482055,0.0,0.0,0.0
process_disturbance_3.10,process_disturbance,3.1,,100,50,1.0,0.9286499658256813,1.0,0.9652,0.017052140927287747,0.9386,0.023300170797306882,0.9912835460353498,0.009252015651585305,0.0,0.0,0.0
process_disturbance_3.20,process_disturbance,3.2,,100,50,1.0,0.9286499658256813,1.0,0.9722,0.019513469968308605,0.9528,0.020207091097242176,0.9926385225083421,0.0088195425294988,0.0,0.0,0.0
parameter_mismatch_0.350,parameter_mismatch,0.5700000000000001,0.35,100,50,1.0,0.9286499658256813,1.0,0.9806,0.01544047160113014,0.9368,0.021800580407926016,0.9982814162320788,0.003978380163390462,0.0,0.0,0.0
parameter_mismatch_0.375,parameter_mismatch,0.545,0.375,100,50,1.0,0.9286499658256813,1.0,0.9668,0.021612543598945645,0.8842,0.03551889408096336,0.9954551329132373,0.00729022952437171,0.0,0.0,0.0
parameter_mismatch_0.400,parameter_mismatch,0.52,0.4,100,50,0.36,0.24138562967182875,0.4985923798969805,0.9308,0.02328527606949619,0.7948000000000001,0.04190562769668366,0.9927477865576378,0.010441830175222398,0.06,0.64,0.02
parameter_mismatch_0.425,parameter_mismatch,0.49500000000000005,0.425,100,50,0.0,0.0,0.07135003417431873,0.8736,0.03274888999521004,0.6732,0.04752829447297898,0.9889970668327076,0.01236021162997032,0.7,1.0,0.0
parameter_mismatch_0.450,parameter_mismatch,0.47000000000000003,0.45,100,50,0.0,0.0,0.07135003417431873,0.7742,0.04184958488565975,0.5412,0.0452042981521511,0.9674745752036026,0.025803605409525112,1.0,1.0,0.22
parameter_mismatch_0.475,parameter_mismatch,0.44500000000000006,0.475,100,50,0.0,0.0,0.07135003417431873,0.6782,0.040086131756302865,0.446,0.05402191543196868,0.9236852568901756,0.03591869471733118,1.0,1.0,0.78
structural_change_0.840,structural_change,0.08000000000000007,0.84,100,50,0.98,0.8950431352816304,0.9964608319110234,0.9624,0.02143428495258405,0.934,0.02175935173103971,0.9826621879312933,0.013696679506856725,0.0,0.0,0.02
structural_change_0.845,structural_change,0.07500000000000007,0.845,100,50,0.98,0.8950431352816304,0.9964608319110234,0.962,0.017842851423995422,0.9178000000000001,0.03170591910231351,0.9803633183219596,0.01339528283777128,0.0,0.0,0.02
structural_change_0.850,structural_change,0.07000000000000006,0.85,100,50,0.92,0.811614974549363,0.9684509967442093,0.9458,0.021673834502478225,0.8944,0.03044969085999706,0.9770405135389334,0.017207573857321266,0.04,0.0,0.08
structural_change_0.855,structural_change,0.06500000000000006,0.855,100,50,0.88,0.7619492111337642,0.9438247628937535,0.9364,0.025932408216715358,0.8666,0.041038060979773305,0.9757428745294459,0.014147457969029992,0.06,0.06,0.02
structural_change_0.860,structural_change,0.06000000000000005,0.86,100,50,0.54,0.40398634328388083,0.6703056539821737,0.9144,0.026738339056684202,0.8192,0.0402461812106542,0.9637250144212249,0.02157694751133265,0.2,0.28,0.24
structural_change_0.865,structural_change,0.05500000000000005,0.865,100,50,0.14,0.06950745262022862,0.2618645719852809,0.8832,0.03158661561032278,0.7688,0.037123071653347765,0.944641064776713,0.028872486897805978,0.6,0.7,0.58
structural_change_0.870,structural_change,0.050000000000000044,0.87,100,50,0.0,0.0,0.07135003417431873,0.8416,0.036104157711843,0.6952,0.05067865951869923,0.9222969978412906,0.03409734435068539,0.94,0.98,0.8
structural_change_0.875,structural_change,0.04500000000000004,0.875,100,50,0.0,0.0,0.07135003417431873,0.7768,0.03425236473290448,0.614,0.04814942727529349,0.8658324036372481,0.04378426051950388,1.0,1.0,0.98
structural_change_0.880,structural_change,0.040000000000000036,0.88,100,50,0.0,0.0,0.07135003417431873,0.6916,0.044094518146956134,0.5162,0.053942145879088056,0.8104649748124205,0.04733449429183137,1.0,1.0,1.0
structural_change_0.885,structural_change,0.03500000000000003,0.885,100,50,0.0,0.0,0.07135003417431873,0.6238,0.043560420155017245,0.463,0.04464142854857071,0.7192020972115271,0.06887776182423826,1.0,1.0,1.0
structural_change_0.890,structural_change,0.030000000000000027,0.89,100,50,0.0,0.0,0.07135003417431873,0.5154,0.05047569631384343,0.4176,0.04511029567083554,0.585342987940721,0.07511331100176497,1.0,1.0,1.0
