model,features,feature_count,rows,unsafe_rows,safe_rows,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,safe_mean,unsafe_mean,standardized_difference_unsafe_minus_safe
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,3,7719,1646,6073,0.6100571339508639,0.4270959902794654,0.35867346938775513,0.7930182776222625,0.6567835362346213,0.6046123457831123,0.6505484692870522,,,
context_plus_loss,context_support_distance|predicted_action_loss,2,7719,1646,6073,0.6047453931800597,0.4222357229647631,0.3497735279315551,0.7872550633953564,0.6554234136755341,0.598933003100217,0.6453237851249587,,,
context_plus_action_support,context_support_distance|action_support_distance,2,7719,1646,6073,0.6024583144844249,0.3396111786148238,0.4059549745824256,0.8653054503540261,0.6270275039670241,0.6019484510831864,0.6220089147178061,,,
action_support_only,action_support_distance,1,7719,1646,6073,0.5973227914164623,0.32077764277035237,0.4080370942812983,0.8738679400625721,0.6293058793188343,0.5967242267496383,0.6184225795986938,,,
context_support_only,context_support_distance,1,7719,1646,6073,0.5953782943406857,0.3043742405832321,0.42065491183879095,0.8863823480981393,0.6174780350610705,0.5947057258294672,0.6002166486108232,,,
predicted_loss_only,predicted_action_loss,1,7719,1646,6073,0.5705762654011671,0.5279465370595383,0.2700435052827843,0.6132059937427959,0.6012010814554952,0.5616394040059985,0.5997587118348737,,,
diagnostic_context_support_distance,context_support_distance,1,7719,1646,6073,,,,,,,,2.6807976622123926,4.310434834393583,0.5631191109414239
diagnostic_action_support_distance,action_support_distance,1,7719,1646,6073,,,,,,,,3.2800071564083977,4.921977418798244,0.5733458175300746
diagnostic_action_support_minus_context,action_support_minus_context,1,7719,1646,6073,,,,,,,,0.5992094941960053,0.6115425844046612,0.02787714481602662
diagnostic_predicted_action_loss,predicted_action_loss,1,7719,1646,6073,,,,,,,,0.14684475320317936,0.16623684237468084,0.3366765185961425
diagnostic_predicted_relative_loss,predicted_relative_loss,1,7719,1646,6073,,,,,,,,0.01451045506871315,0.014675140679078871,0.006795990151917453
