model,held_out_seed,test_rows,test_unsafe,test_safe,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc
context_support_only,44751,201,39,162,0.5467711301044634,0.358974358974359,0.24561403508771928,0.7345679012345679,0.573599240265907
context_support_only,44752,192,34,158,0.5971705137751303,0.4411764705882353,0.2777777777777778,0.7531645569620253,0.6619508562918838
context_support_only,44753,189,35,154,0.503896103896104,0.22857142857142856,0.19047619047619047,0.7792207792207793,0.5712430426716142
context_support_only,44754,189,38,151,0.545224817009411,0.34210526315789475,0.2549019607843137,0.7483443708609272,0.6317532241199024
context_support_only,44755,189,37,152,0.537873399715505,0.3783783783783784,0.23333333333333334,0.6973684210526315,0.5944167852062588
context_support_only,44756,189,42,147,0.4897959183673469,0.23809523809523808,0.20833333333333334,0.7414965986394558,0.56511175898931
context_support_only,44757,186,38,148,0.509601706970128,0.2894736842105263,0.21568627450980393,0.7297297297297297,0.5938833570412517
context_support_only,44758,186,37,149,0.5144204607291856,0.2972972972972973,0.21568627450980393,0.7315436241610739,0.6123707600217667
context_support_only,44759,189,41,148,0.5254614370468029,0.34146341463414637,0.24561403508771928,0.7094594594594594,0.5860250494396836
context_support_only,44760,189,40,149,0.5307046979865772,0.35,0.24561403508771928,0.7114093959731543,0.6046979865771812
context_support_only,44761,186,36,150,0.5338888888888889,0.3611111111111111,0.22807017543859648,0.7066666666666667,0.6094444444444445
context_support_only,44762,186,39,147,0.5716902145473575,0.4358974358974359,0.2833333333333333,0.7074829931972789,0.6541077969649398
context_support_only,44763,186,39,147,0.56567242281528,0.41025641025641024,0.2807017543859649,0.7210884353741497,0.6666666666666667
context_support_only,44764,186,35,151,0.5774834437086093,0.4,0.27450980392156865,0.7549668874172185,0.6592242194891201
context_support_only,44765,189,35,154,0.6071428571428571,0.42857142857142855,0.3125,0.7857142857142857,0.7081632653061225
context_support_only,44766,195,45,150,0.5855555555555556,0.37777777777777777,0.3541666666666667,0.7933333333333333,0.6653333333333333
context_support_only,44767,195,41,154,0.5757839721254355,0.36585365853658536,0.3125,0.7857142857142857,0.6534684827367755
context_support_only,44768,201,41,160,0.5704268292682927,0.36585365853658536,0.29411764705882354,0.775,0.666920731707317
context_support_only,44769,207,41,166,0.6624302086394358,0.4634146341463415,0.4523809523809524,0.8614457831325302,0.704966206288569
context_support_only,44770,213,41,172,0.6480431083380601,0.36585365853658536,0.5555555555555556,0.9302325581395349,0.7318491208167897
context_support_only,44771,204,42,162,0.6507936507936508,0.35714285714285715,0.625,0.9444444444444444,0.7394179894179894
context_support_only,44772,201,40,161,0.6376552795031056,0.325,0.6190476190476191,0.9503105590062112,0.7319875776397515
context_support_only,44773,210,46,164,0.6173117709437964,0.32608695652173914,0.5,0.9085365853658537,0.6765641569459172
context_support_only,44774,216,41,175,0.661602787456446,0.4146341463414634,0.5151515151515151,0.9085714285714286,0.6942160278745645
context_support_only,44775,222,41,181,0.628149845034362,0.3170731707317073,0.5416666666666666,0.9392265193370166,0.6550330144185418
context_support_only,44776,216,44,172,0.6157505285412262,0.29545454545454547,0.5416666666666666,0.936046511627907,0.6506342494714588
context_support_only,44777,234,42,192,0.6116071428571428,0.2857142857142857,0.5,0.9375,0.6458333333333334
context_support_only,44778,243,48,195,0.6048076923076923,0.2916666666666667,0.4666666666666667,0.9179487179487179,0.6137820512820512
context_support_only,44779,243,40,203,0.5980911330049261,0.275,0.4074074074074074,0.9211822660098522,0.6178571428571427
context_support_only,44780,249,44,205,0.579490022172949,0.22727272727272727,0.4166666666666667,0.9317073170731708,0.5941241685144125
context_support_only,44781,258,42,216,0.5509259259259259,0.16666666666666666,0.3333333333333333,0.9351851851851852,0.6392195767195767
context_support_only,44782,264,47,217,0.5750073536621237,0.19148936170212766,0.5,0.9585253456221198,0.6172173742523777
context_support_only,44783,255,43,212,0.5972465993856955,0.2558139534883721,0.4583333333333333,0.9386792452830188,0.6184730144800351
context_support_only,44784,219,55,164,0.5846452328159646,0.23636363636363636,0.5416666666666666,0.9329268292682927,0.6586474501108648
context_support_only,44785,216,54,162,0.5864197530864198,0.24074074074074073,0.5416666666666666,0.9320987654320988,0.6848422496570645
context_support_only,44786,225,49,176,0.5622680890538033,0.20408163265306123,0.4166666666666667,0.9204545454545454,0.645756029684601
context_support_only,44787,210,58,152,0.5558076225045372,0.13793103448275862,0.6666666666666666,0.9736842105263158,0.6698049001814882
context_support_only,44788,213,60,153,0.5437908496732027,0.13333333333333333,0.5333333333333333,0.954248366013072,0.6395424836601308
context_support_only,44789,204,54,150,0.5507407407407408,0.14814814814814814,0.5333333333333333,0.9533333333333334,0.6325925925925926
context_support_only,44790,222,56,166,0.5413080895008606,0.14285714285714285,0.4444444444444444,0.9397590361445783,0.6339285714285714
predicted_loss_only,44751,201,39,162,0.5227920227920229,0.8974358974358975,0.2023121387283237,0.14814814814814814,0.5656853434631212
predicted_loss_only,44752,192,34,158,0.4056217423678332,0.7352941176470589,0.14619883040935672,0.0759493670886076,0.4910647803425167
predicted_loss_only,44753,189,35,154,0.4948051948051948,0.8857142857142857,0.1834319526627219,0.1038961038961039,0.5103896103896104
predicted_loss_only,44754,189,38,151,0.48082955733705124,0.7894736842105263,0.1935483870967742,0.17218543046357615,0.4888462879051935
predicted_loss_only,44755,189,37,152,0.4624822190611665,0.6486486486486487,0.1791044776119403,0.27631578947368424,0.4286984352773826
predicted_loss_only,44756,189,42,147,0.48809523809523814,0.7380952380952381,0.21678321678321677,0.23809523809523808,0.47651441528992555
predicted_loss_only,44757,186,38,148,0.4900426742532006,0.7368421052631579,0.2,0.24324324324324326,0.43438833570412516
