generation_seed,test_index,clean_action,poison_action,clean_unsafe,poison_unsafe,clean_regret,poison_regret,transition
44591,0,2,2,0,0,0.0,0.0,same
44591,1,3,3,0,0,0.0,0.0,same
44591,2,2,2,0,0,0.0,0.0,same
44591,3,2,2,0,0,0.0,0.0,same
44591,4,3,3,0,0,0.0,0.0,same
44591,5,3,3,0,0,0.0,0.0,same
44591,6,3,3,0,0,0.0,0.0,same
44591,7,3,3,0,0,0.0,0.0,same
44591,8,2,2,0,0,0.0,0.0,same
44591,9,2,2,0,0,0.0,0.0,same
44591,10,2,3,0,0,0.0,0.0,safe_to_safe_changed
44591,11,3,3,0,0,0.0,0.0,same
44591,12,2,2,0,0,0.0,0.0,same
44591,13,1,3,0,0,0.0,0.0,safe_to_safe_changed
44591,14,3,3,0,0,0.0,0.0,same
44591,15,1,3,0,0,0.0,0.0,safe_to_safe_changed
44591,16,3,3,0,0,0.0,0.0,same
44591,17,2,2,0,0,0.0,0.0,same
44591,18,3,3,0,0,0.0,0.0,same
44591,19,2,2,0,0,0.0,0.0,same
44591,20,2,2,0,0,0.0,0.0,same
44591,21,3,3,0,0,0.0,0.0,same
44591,22,3,3,0,0,0.0,0.0,same
44591,23,3,3,0,0,0.0,0.0,same
44591,24,2,2,0,0,0.0,0.0,same
44591,25,3,3,0,0,0.0,0.0,same
44591,26,3,3,0,0,0.0,0.0,same
44591,27,3,3,0,0,0.0,0.0,same
44591,28,2,2,0,0,0.0,0.0,same
44591,29,3,3,0,0,0.0,0.0,same
44591,30,3,3,1,1,0.0216881658374307,0.0216881658374307,same
44591,31,3,3,0,0,0.0,0.0,same
44591,32,3,3,0,0,0.0,0.0,same
44591,33,3,3,0,0,0.0,0.0,same
44591,34,2,2,0,0,0.0,0.0,same
44591,35,2,2,0,0,0.0,0.0,same
44591,36,3,3,0,0,0.0,0.0,same
44591,37,3,3,0,0,0.0,0.0,same
44591,38,3,3,0,0,0.0,0.0,same
44591,39,3,3,0,0,0.0,0.0,same
44591,40,2,2,0,0,0.0,0.0,same
44591,41,2,2,0,0,0.0,0.0,same
44591,42,3,3,0,0,0.0,0.0,same
44591,43,3,3,0,0,0.0,0.0,same
44591,44,3,3,0,0,0.0,0.0,same
44591,45,3,3,0,0,0.0,0.0,same
44591,46,3,3,0,0,0.0,0.0,same
44591,47,2,2,0,0,0.0,0.0,same
44591,48,2,2,0,0,0.0,0.0,same
44591,49,3,3,0,0,0.0,0.0,same
44591,50,3,3,0,0,0.0,0.0,same
44591,51,3,3,0,0,0.0,0.0,same
44591,52,3,3,0,0,0.0,0.0,same
44591,53,3,3,0,0,0.0,0.0,same
44591,54,2,2,1,1,0.0539968790972914,0.0539968790972914,same
44591,55,3,3,0,0,0.0,0.0,same
44591,56,2,2,0,0,0.0,0.0,same
44591,57,2,2,0,0,0.0,0.0,same
44591,58,1,3,0,0,0.0044311920825645,0.0048608892700366,safe_to_safe_changed
44591,59,1,3,0,0,0.0,0.0048608892700366,safe_to_safe_changed
44592,0,2,2,0,0,0.0,0.0,same
44592,1,3,3,0,0,0.0,0.0,same
44592,2,2,2,0,0,0.0,0.0,same
44592,3,2,2,0,0,0.0,0.0,same
44592,4,2,2,0,0,0.0,0.0,same
44592,5,2,2,0,0,0.0,0.0,same
44592,6,2,2,0,0,0.0,0.0,same
44592,7,2,2,0,0,0.0,0.0,same
44592,8,2,3,0,0,0.0,0.0,safe_to_safe_changed
44592,9,2,2,0,0,0.0,0.0,same
44592,10,2,2,0,0,0.0,0.0,same
44592,11,1,3,0,0,0.0,0.0,safe_to_safe_changed
44592,12,3,3,0,0,0.0,0.0,same
44592,13,1,3,0,0,0.0,0.0,safe_to_safe_changed
44592,14,2,2,0,0,0.0,0.0,same
44592,15,2,2,0,0,0.0,0.0,same
44592,16,2,2,0,0,0.0,0.0,same
44592,17,2,2,0,0,0.0,0.0,same
44592,18,2,2,0,0,0.0,0.0,same
44592,19,2,2,0,0,0.0,0.0,same
44592,20,2,2,0,0,0.0,0.0,same
44592,21,3,3,0,0,0.0,0.0,same
44592,22,3,3,0,0,0.0,0.0,same
44592,23,3,3,0,0,0.0,0.0,same
44592,24,2,2,0,0,0.0,0.0,same
44592,25,2,2,1,1,0.063540774412822,0.063540774412822,same
44592,26,2,2,1,1,0.063540774412822,0.063540774412822,same
44592,27,3,3,0,0,0.0,0.0,same
44592,28,2,2,0,0,0.0,0.0,same
44592,29,2,2,1,1,0.0417828600225031,0.0417828600225031,same
44592,30,2,3,0,0,0.0,0.0,safe_to_safe_changed
44592,31,2,2,0,0,0.0,0.0,same
44592,32,2,2,0,0,0.0,0.0,same
44592,33,2,2,0,0,0.0,0.0,same
44592,34,3,3,0,0,0.0,0.0,same
44592,35,3,3,0,0,0.0,0.0,same
