generation_seed,test_index,state_threshold,primary_specification,state_harmful_probability,current_mismatch_indicator,anchor_age,trigger_score,primary_action,baseline_action,guarded_action,true_responsive_action,baseline_outcome,baseline_expansion,vetoed,baseline_regret,guarded_regret,regret_difference_guard_minus_baseline,support_distance_baseline_action,safety_score_baseline_action,downside_score_baseline_action,selectivity_class
44011,1,0.5,1,0.14958373455099586,0.21879723107468446,46.0,7.920617905254036,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.2590374602893464,0.8057589285714282,0.010260450966570743,beneficial_preserved
44011,13,0.5,1,0.566448893114391,0.061870846002411245,5.0,6.520510802879969,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.8141291880620423,0.8687113095238097,0.008020717393846936,beneficial_vetoed
44012,6,0.5,1,0.566448893114391,0.061870846002411245,5.0,6.520510802879969,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.022499872238302,0.7720416666666668,0.016394360701662815,beneficial_vetoed
44012,47,0.5,1,0.9662263685101098,0.8547649783217632,6.0,5.164998282601772,3,1,3,1,beneficial,1,1,0.0,0.0,0.0,2.450202418743321,0.8468392765322912,0.0009162787197077348,beneficial_vetoed
44014,0,0.5,1,0.32551938057980867,0.2288110763443333,40.0,5.622785264913806,2,1,1,1,beneficial,1,0,0.0,0.0,0.0,2.3559709424808584,0.6673958333333337,0.01129700867246668,beneficial_preserved
44014,9,0.5,1,0.8101107902565451,0.9864174016844783,24.0,10.094697402123954,3,1,3,1,beneficial,1,1,0.0,0.0,0.0,2.2806346758708136,0.7769375000000003,0.012171479875624674,beneficial_vetoed
44014,10,0.5,1,0.5572595375429551,0.7853762454516239,34.0,10.094697402123954,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.224728457975894,0.7188630952380951,0.007956414641201398,beneficial_vetoed
44014,44,0.5,1,0.5569246789764755,0.406528794257458,36.0,5.164998282601772,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.1115947085451543,0.7375297619047616,0.0009325168687620128,beneficial_vetoed
44014,61,0.5,1,0.3475236413485901,0.24243097630734883,38.0,5.8084761013265025,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.0373278717019065,0.7634488636363637,0.001237331638429073,beneficial_preserved
44014,65,0.5,1,0.26666899745495226,0.016739713745882706,33.0,5.324709668908,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.125525303355448,0.7083422619047617,0.009214636173458432,beneficial_preserved
44015,7,0.5,1,0.35253723826997574,0.003943184481061594,15.0,7.045171433748348,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.3649964064682956,0.6699494047619051,0.019450680563105234,beneficial_preserved
44015,13,0.5,1,0.8925192908407565,0.6273573298917035,8.0,6.361122938861032,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.8673908265162358,0.7529776785714286,0.0030379173498004796,beneficial_vetoed
44015,32,0.5,1,0.5923613097117761,0.054303427623651736,12.0,4.783886377017327,2,1,2,2,harmful,1,1,0.0689557556028303,0.0,-0.0689557556028303,2.3761210098559036,0.9378435841388142,0.005499101112168404,harmful_vetoed
44015,55,0.5,1,0.9182053757764637,0.5528777648519895,3.0,5.324709668908,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.2697907937325974,0.8399136904761909,0.0004261614703235889,beneficial_vetoed
44015,56,0.5,1,0.7640463528404666,0.3453374779259618,13.0,5.324709668908,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.9131574062822891,0.8265267857142861,0.005058975305533214,beneficial_vetoed
44016,14,0.5,1,0.40214499470123577,0.05350831711322684,18.0,6.361122938861032,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.7008423610762804,0.9048750000000002,0.0006969831503723125,beneficial_preserved
44016,25,0.5,1,0.5833113218409413,0.3726537429871935,21.0,7.114455379828495,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.7963325549142042,0.7615505952380954,0.0,beneficial_vetoed
44016,36,0.5,1,0.5569246789764755,0.406528794257458,36.0,5.164998282601772,3,1,3,1,beneficial,1,1,0.0,0.0,0.0,2.112695855484172,0.6418926953357103,0.004147757875407709,beneficial_vetoed
44016,44,0.5,1,0.7486631644793369,0.4339173985126608,7.0,7.776869571928644,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.4843161886760545,0.8173422619047619,0.0009519164258659918,beneficial_vetoed
44016,45,0.5,1,0.9688448808698227,1.261470257913859,17.0,7.776869571928644,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.1990975963551334,0.8511964285714286,0.0007347311817664674,beneficial_vetoed
44016,54,0.5,1,0.4190962909224715,0.06432111920289982,19.0,6.065649926874513,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.7746564650678462,0.7894166666666668,0.0013380573875535575,beneficial_preserved
44016,55,0.5,1,0.9182053757764637,0.5528777648519895,3.0,5.324709668908,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.0828733083954765,0.8623333333333335,0.004594739178927941,beneficial_vetoed
44016,63,0.5,1,0.7244493716139995,0.6423916688551128,23.0,7.811138833663312,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.044970308978967,0.7082916666666665,0.0006097132031622984,beneficial_vetoed
44017,29,0.5,1,0.5923613097117761,0.054303427623651736,12.0,4.783886377017327,2,1,2,1,beneficial,1,1,0.0,0.0,0.0,2.0730394568716823,0.6808482142857146,0.0029966300513522425,beneficial_vetoed
44017,33,0.5,1,0.5569246789764755,0.406528794257458,36.0,5.164998282601772,2,1,2,1,beneficial,1,1,0.0,0.0,0.0,2.2837742137602435,0.8035505952380951,0.008281574996447294,beneficial_vetoed
44017,44,0.5,1,0.12229569482553565,0.15478232071590348,47.0,7.776869571928644,3,1,1,1,beneficial,1,0,0.0,0.0,0.0,2.457480798551457,0.9053348214285716,0.009081186910620742,beneficial_preserved
44018,46,0.5,1,0.4190962909224715,0.06432111920289982,19.0,6.065649926874513,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.320083081559292,0.6501517857142858,0.0016772259377406842,beneficial_preserved
44018,49,0.5,1,0.26666899745495226,0.016739713745882706,33.0,5.324709668908,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.387503936270999,0.603029761904762,0.00030407276787627554,beneficial_preserved
44019,18,0.5,1,0.5569246789764755,0.406528794257458,36.0,5.164998282601772,3,2,3,3,neutral,1,1,0.0,0.0,0.0,1.934849958906612,0.7043540313852813,0.0014818485724088603,neutral_vetoed
44019,35,0.5,1,0.3475236413485901,0.24243097630734883,38.0,5.8084761013265025,3,1,1,1,beneficial,1,0,0.0,0.0,0.0,2.052317340179985,0.7526755952380952,0.018142218742364952,beneficial_preserved
44019,36,0.5,1,0.4190962909224715,0.06432111920289982,19.0,6.065649926874513,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.0980082095921704,0.6552371794871794,0.0012697425509035332,beneficial_preserved
44019,37,0.5,1,0.9182053757764637,0.5528777648519895,3.0,5.324709668908,3,1,3,1,beneficial,1,1,0.0,0.0,0.0,1.4971388904889418,0.6634756944444449,0.014493435067861233,beneficial_vetoed
44019,53,0.5,1,0.4713685266765283,0.0006321828969838392,19.0,4.560355657254428,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.360814604366561,0.6650194215506715,0.0018207613853248057,beneficial_preserved
44019,57,0.5,1,0.4049982166544793,0.29606457385768226,38.0,5.602146552174002,3,1,1,1,beneficial,1,0,0.0,0.0,0.0,1.8456601067620402,0.7170014880952383,0.012919009648685406,beneficial_preserved
44020,2,0.5,1,0.46053691034873345,0.07898471910804994,11.0,7.114455379828495,3,1,1,1,beneficial,1,0,0.0,0.0,0.0,1.7250509547860802,0.7147921626984127,0.01908255159126207,beneficial_preserved
44020,17,0.5,1,0.9915837196249144,1.5227977455823403,5.0,8.481146755953668,3,1,3,1,beneficial,1,1,0.0,0.0,0.0,2.2723111535094977,0.6007529761904765,0.013131416551532342,beneficial_vetoed
44020,20,0.5,1,0.6439138752608221,0.8019017504593806,20.0,11.583959134407792,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.417685266866698,0.6865228174603175,0.0001711475275848622,beneficial_vetoed
44020,33,0.5,1,0.9182053757764637,0.5528777648519895,3.0,5.324709668908,3,1,3,1,beneficial,1,1,0.0,0.0,0.0,1.6123854241500937,0.6973050595238098,0.004847780371232055,beneficial_vetoed
44020,34,0.5,1,0.7640463528404666,0.3453374779259618,13.0,5.324709668908,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.5338313968708628,0.9788238636363635,0.0008272462607805231,beneficial_vetoed
44020,36,0.5,1,0.046747337698923475,0.09640566040917425,11.0,17.264514668744685,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.4757207688090674,0.8337103174603171,0.00013124029110852154,beneficial_preserved
44020,40,0.5,1,0.5723911414539045,0.2966733897956209,13.0,7.811138833663312,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.7215954406285134,0.7889300595238098,0.0002322990753502245,beneficial_vetoed
44020,49,0.5,1,0.4713685266765283,0.0006321828969838392,19.0,4.560355657254428,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.004644717428488,0.8387827380952381,0.0015340249959329517,beneficial_preserved
44020,50,0.5,1,0.4656720470246802,0.2960889628364405,39.0,4.560355657254428,3,1,1,1,beneficial,1,0,0.0,0.0,0.0,1.7343009250990302,0.7443988095238094,0.01981396196501807,beneficial_preserved
44020,52,0.5,1,0.7605918128028966,0.4383510551207277,18.0,5.602146552174002,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.8092202309176835,0.8871458333333334,0.00030187491320510853,beneficial_vetoed
