test_index,outcome,best_persistence,primary_actions,expanded_actions,true_safe_actions,added_actions,primary_action,expanded_action,true_responsive_action,action_step,primary_regret,expanded_regret,incremental_regret,selected_safety_score,selected_downside_score,realized_downside,downside_error,safety_overconfidence,predicted_primary_regret,predicted_expanded_action_regret,predicted_regret_margin,score_action_1,score_action_2,score_action_3,downside_action_1,downside_action_2,downside_action_3
0,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.7041666666666666,0.0,0.0,0.0,0.0,0.0,0.00010699654136893345,0.00010699654136893345,0.2266964285714286,0.7041666666666666,0.7201162205849707,0.0013639565151397184,0.0,5.687419666358372e-06
1,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.5549895833333334,0.0006950249005539919,0.0,-0.0006950249005539919,0.0,0.0003193205217879835,0.0003193205217879835,0.0,0.3953020833333331,0.5549895833333334,0.49287465312465245,0.017422383517089007,0.0006950249005539919,0.00042820585099502534
2,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.806540674603174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15877083333333333,0.806540674603174,0.7435141056859801,0.006505184989279298,0.0,5.687419666358372e-06
3,neutral,1,3,3,2|3,,3,3,2,0,0.0,0.0,0.0,0.9007276924464425,0.00010814630927070745,0.0,-0.00010814630927070745,0.0,0.0001161858588984639,0.0001161858588984639,0.0,0.21929166666666663,0.5484280753968256,0.9007276924464425,0.022245641309294597,0.0004198350375546233,0.00010814630927070745
4,neutral,1,1,1,1,,1,1,1,0,0.0,0.0,0.0,0.3826294642857141,0.03195580171261871,0.0,-0.03195580171261871,0.0,0.0008068011040991233,0.0008068011040991233,0.0,0.3826294642857141,0.1486488095238095,0.5006719505984206,0.03195580171261871,0.018398789619170776,0.006625414485832121
5,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.715982187950938,0.0004267160053551189,0.0,-0.0004267160053551189,0.0,2.8437098331791866e-05,2.8437098331791866e-05,0.0,0.49937500000000007,0.10806249999999996,0.715982187950938,0.028855001659452845,0.0014127547581063054,0.0004267160053551189
6,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.7329811958874457,0.00042251843132866694,0.0,-0.00042251843132866694,0.0,0.00047693076345033835,0.00047693076345033835,0.0,0.4764032738095237,0.15684672619047618,0.7329811958874457,0.05153498925455573,0.0006950249005539919,0.00042251843132866694
7,neutral,2,3,3,2|3,,3,3,2,0,0.0,0.0,0.0,0.8429954534844241,0.0009446088274530341,0.0,-0.0009446088274530341,0.0,0.0002460147562673342,0.0002460147562673342,0.0,0.5331116071428572,0.41267906746031763,0.8429954534844241,0.051950175096428894,0.0010372656221261359,0.0009446088274530341
8,neutral,1,3,3,1|3,,3,3,1,0,0.0,0.0,0.0,0.788214285714286,0.0020803511824398317,0.0,-0.0020803511824398317,0.0,0.00045775603428947287,0.00045775603428947287,0.0,0.7634082341269839,0.09911011904761902,0.788214285714286,0.02088937937917533,0.0007414277812436534,0.0020803511824398317
9,beneficial,1,3,2|3,2|3,2,3,2,2,1,0.0,0.0,0.0,0.8166478174603178,0.0006449349878687604,0.0,-0.0006449349878687604,0.0,0.00022826147554364063,0.015244933148279785,0.015016671672736143,0.09441666666666666,0.8166478174603178,0.8809841269841269,0.020232003820525177,0.0006449349878687604,0.0020239376035504747
10,neutral,1,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.8780245535714286,0.0020239376035504747,0.0,-0.0020239376035504747,0.0,0.0,0.0,0.0,0.05820833333333333,0.49079662698412696,0.8780245535714286,0.008948347632850585,0.0006449349878687604,0.0020239376035504747
11,beneficial,1,3,1|3,1|3,1,3,1,1,2,0.0,0.0,0.0,0.8801815476190477,0.008707973886357247,0.0,-0.008707973886357247,0.0,0.0,0.00113176450846491,0.00113176450846491,0.8801815476190477,0.10020238095238093,0.8348859126984128,0.008707973886357247,0.0006449349878687604,0.0020239376035504747
12,neutral,1,2|3,2|3,1|2|3,,2,2,1,0,0.0,0.0,0.0,0.3727023809523811,4.33950606841204e-05,0.0,-4.33950606841204e-05,0.0,0.0,0.0002933409521360185,0.0002933409521360185,0.7601235119047621,0.3727023809523811,0.76071626984127,0.02895618168918471,4.33950606841204e-05,5.641357888935652e-05
13,neutral,1,1|2|3,1|2|3,1|2|3,,1,1,1,0,0.0,0.0,0.0,0.8469166666666665,0.001488691686413017,0.0,-0.001488691686413017,0.0,0.0,0.0,0.0,0.8469166666666665,0.188485119047619,0.5009703872516369,0.001488691686413017,0.0,5.687419666358372e-06
14,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.7928154761904764,5.7363297440541584e-05,0.0,-5.7363297440541584e-05,0.0,0.0,5.3498270684466725e-05,5.3498270684466725e-05,0.06777083333333334,0.7928154761904764,0.8752167797480297,0.010825750416238915,5.7363297440541584e-05,0.0
15,neutral,1,3,3,1|3,,3,3,1,0,0.0,0.0,0.0,0.9420213293650795,0.00042251843132866694,0.0,-0.00042251843132866694,0.0,0.00047693076345033835,0.00047693076345033835,0.0,0.6171696428571428,0.07501488095238097,0.9420213293650795,0.04716102167136563,0.0006950249005539919,0.00042251843132866694
16,neutral,1,3,3,1|3,,3,3,1,0,0.0,0.0,0.0,0.6592033730158728,0.002212965555122172,0.0,-0.002212965555122172,0.0,0.0004691308736221897,0.0004691308736221897,0.0,0.5310238095238096,0.03986309523809523,0.6592033730158728,0.024408256191010943,0.0010497047848667355,0.002212965555122172
17,neutral,1,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.9396458333333332,0.0020239376035504747,0.0,-0.0020239376035504747,0.0,0.00045775603428947287,0.00045775603428947287,0.0,0.05580555555555556,0.31542658730158735,0.9396458333333332,0.05443928697827945,0.000702298285309302,0.0020239376035504747
18,beneficial,2,3,2|3,2|3,2,3,2,2,1,0.0,0.0,0.0,0.8304107142857141,0.00011952308575422093,0.0,-0.00011952308575422093,0.0,0.0,0.004742873661551248,0.004742873661551248,0.07105059523809525,0.8304107142857141,0.8834092261904761,0.03825031919240943,0.00011952308575422093,5.641357888935652e-05
19,neutral,2,1|2|3,1|2|3,2|3,,1,1,2,0,0.09518820021482474,0.09518820021482474,0.0,0.8397708333333334,0.008468220588418287,0.09518820021482474,0.08671997962640646,0.8397708333333334,0.0,0.0,0.0,0.8397708333333334,0.16550892857142854,0.544751989330114,0.008468220588418287,0.0,5.687419666358372e-06
20,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.9646011904761906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03539583333333332,0.30599603174603174,0.9646011904761906,0.06719934978693107,5.7363297440541584e-05,0.0
21,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.8840114087301589,0.0020239376035504747,0.0,-0.0020239376035504747,0.0,0.00045775603428947287,0.00045775603428947287,0.0,0.1043125,0.2643531746031747,0.8840114087301589,0.03086612559307831,0.0006449349878687604,0.0020239376035504747
22,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.9288958333333333,0.0020239376035504747,0.0,-0.0020239376035504747,0.0,0.00045775603428947287,0.00045775603428947287,0.0,0.08689583333333334,0.31177182539682546,0.9288958333333333,0.040856763871749385,0.0006449349878687604,0.0020239376035504747
23,beneficial,2,3,2|3,2|3,2,3,2,2,1,0.0,0.0,0.0,0.6562991071428573,0.0024049294640973917,0.0,-0.0024049294640973917,0.0,0.0003193205217879835,0.005505079308199232,0.005185758786411249,0.3708229166666666,0.6562991071428573,0.813746941579662,0.029351273170572872,0.0024049294640973917,0.0035751462416759834
24,beneficial,1,3,2|3,2|3,2,3,2,2,1,0.0,0.0,0.0,0.847958333333333,3.616255057010034e-05,0.0,-3.616255057010034e-05,0.0,0.0,0.0005656328253586306,0.0005656328253586306,0.12383531746031742,0.847958333333333,0.9151572420634921,0.0362608068794431,3.616255057010034e-05,0.0
25,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.7487500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11962499999999998,0.7487500000000001,0.7688397054334556,0.0018118821166499418,0.0,5.687419666358372e-06
26,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.817787698412698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12087499999999997,0.817787698412698,0.8326242247335994,0.0068772195522923355,0.0,0.0
27,beneficial,1,3,1|3,1|3,1,3,1,1,2,0.0,0.0,0.0,0.8090625,0.015294872310324194,0.0,-0.015294872310324194,0.0,0.0,0.0018937184110290664,0.0018937184110290664,0.8090625,0.19272371031746033,0.892186507936508,0.015294872310324194,0.0,0.0
28,neutral,1,3,3,1|2|3,,3,3,1,0,0.0,0.0,0.0,0.7070477092352091,0.0006370362584078815,0.0,-0.0006370362584078815,0.0,0.0,0.0,0.0,0.4159156746031747,0.1693095238095238,0.7070477092352091,0.05196246095550455,0.00018968307744406888,0.0006370362584078815
29,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.8049404761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05745833333333335,0.8049404761904762,0.8170010059385058,0.012271214273829689,0.0,5.687419666358372e-06
30,beneficial,1,3,1|3,1|3,1,3,1,1,2,0.0,0.0,0.0,0.6619375,0.006740867548142701,0.0,-0.006740867548142701,0.0,0.0,0.007075805634498555,0.007075805634498555,0.6619375,0.07770833333333332,0.6533384428071924,0.006740867548142701,0.0,0.0
31,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.6337772817460319,4.6210284789161776e-05,0.0,-4.6210284789161776e-05,0.0,0.0,0.0,0.0,0.14979166666666668,0.6337772817460319,0.8595318050005549,0.024252675014986763,4.6210284789161776e-05,2.9858953248381453e-05
32,harmful,3,3,2|3,3,2,3,2,3,1,0.0,0.03348088192022192,0.03348088192022192,0.8696041666666667,2.9574582265063535e-05,0.03348088192022192,0.03345130733795685,0.8696041666666667,1.1374839332716744e-05,0.0008276333361250962,0.0008162584967923795,0.026229166666666668,0.8696041666666667,0.9340019841269839,0.06553614030694134,2.9574582265063535e-05,3.805455902846808e-05
33,neutral,3,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.7782748917748918,2.914802579008666e-05,0.0,-2.914802579008666e-05,0.0,9.749862285185782e-06,9.749862285185782e-06,0.0,0.5348720238095236,0.08725,0.7782748917748918,0.0504887108885491,4.663684126413866e-05,2.914802579008666e-05
34,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.6297753878066374,0.009787379762724634,0.0,-0.009787379762724634,0.0,2.2749678665433488e-05,2.2749678665433488e-05,0.0,0.2776488095238095,0.1998511904761904,0.6297753878066374,0.05058639443992002,0.02062450087148274,0.009787379762724634
35,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.9200049603174604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028770833333333336,0.3049246031746032,0.9200049603174604,0.05838763104749487,0.0,0.0
36,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.9768651244588746,1.4929476624190728e-05,0.0,-1.4929476624190728e-05,0.0,0.0,0.0,0.0,0.03989583333333333,0.4497867063492064,0.9768651244588746,0.05961294200206532,1.7062258999075117e-05,1.4929476624190728e-05
37,beneficial,2,3,2|3,2|3,2,3,2,2,1,0.0,0.0,0.0,0.7958650793650791,0.0005147742672564439,0.0,-0.0005147742672564439,0.0,0.0,0.0017772765105626281,0.0017772765105626281,0.0771875,0.7958650793650791,0.8692746742636447,0.06271134442164118,0.0005147742672564439,0.000698177949714774
38,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.8147470376845378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12110416666666665,0.2583333333333333,0.8147470376845378,0.022100386796363777,0.0,0.0
39,neutral,2,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.9182291666666665,4.265564749768779e-06,0.0,-4.265564749768779e-06,0.0,0.0,0.0,0.0,0.02270833333333333,0.9182291666666665,0.9774980158730158,0.04554518310091501,4.265564749768779e-06,5.687419666358372e-06
40,beneficial,2,3,2|3,2|3,2,3,2,2,1,0.0,0.0,0.0,0.7013501984126986,0.001481483654147132,0.0,-0.001481483654147132,0.0,0.0,0.0018762531648030896,0.0018762531648030896,0.08149999999999999,0.7013501984126986,0.8448645011034714,0.06595450668060077,0.001481483654147132,0.0019372032996016007
41,neutral,3,1,1,1,,1,1,1,0,0.007375586548430901,0.007375586548430901,0.0,0.6074375000000001,0.027373745390330315,0.007375586548430901,-0.019998158841899413,0.0,0.0007902263382143077,0.0007902263382143077,0.0,0.6074375000000001,0.09533333333333335,0.19759270345667393,0.027373745390330315,0.029105421334526472,0.015021189480337028
42,neutral,3,1,1,1,,1,1,1,0,0.03091974117703608,0.03091974117703608,0.0,0.46221130952380945,0.027640328418538664,0.03091974117703608,0.0032794127584974166,0.0,0.0003917819661597157,0.0003917819661597157,0.0,0.46221130952380945,0.23813690476190477,0.4526915213054917,0.027640328418538664,0.02817045360159274,0.011892187382028343
43,neutral,2,3,3,3,,3,3,3,0,0.006871910725323005,0.006871910725323005,0.0,0.7733612012987013,0.0019287890704017846,0.006871910725323005,0.0049431216549212205,0.0,2.1124701617902526e-05,2.1124701617902526e-05,0.0,0.3013392857142857,0.21998511904761908,0.7733612012987013,0.06115487947134433,0.0007153339122122655,0.0019287890704017846
44,neutral,1,3,3,1,,3,3,1,0,0.006622848127195047,0.006622848127195047,0.0,0.3089756399646106,0.0032533428678339594,0.006622848127195047,0.0033695052593610874,0.3089756399646106,0.0008381631611164708,0.0008381631611164708,0.0,0.42008333333333303,0.1528154761904761,0.3089756399646106,0.0344592475967991,0.0032585437435579466,0.0032533428678339594
45,beneficial,1,3,2|3,2|3,2,3,2,2,1,0.0,0.0,0.0,0.7426547619047618,0.00022998411588553532,0.0,-0.00022998411588553532,0.0,0.0,0.008480612252873788,0.008480612252873788,0.16768154761904752,0.7426547619047618,0.6812539821289819,0.04256768615554657,0.00022998411588553532,0.00016697239520900586
46,beneficial,1,3,2|3,2|3,2,3,2,2,1,0.0,0.0,0.0,0.8367946428571429,0.000809785638086825,0.0,-0.000809785638086825,0.0,0.00047693076345033835,0.002620174013107413,0.0021432432496570745,0.061729166666666675,0.8367946428571429,0.7798889027639027,0.04205182996152148,0.000809785638086825,0.00042820585099502534
