policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct
fixed_k1,0.5333333333333333,0.16770921914966194,0.025601550828463094,0.0,0.10302316959890084,0.5333333333333333,0.4666666666666667,35,0,40,0.0,1.0,0.8533333333333334
fixed_k2,0.3333333333333333,0.14792748209349874,0.00581981377229988,0.0,0.06960889750293561,0.84,0.16,10,40,25,0.0,1.0,0.5866666666666667
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10,0.0,1.0,0.56
direct_loss,0.30666666666666664,0.14609531806554793,0.003987649744349093,0.0,0.057717810433482175,0.8666666666666667,0.13333333333333333,8,44,23,0.9174775417650605,0.44,0.0
fixed_risk_0.010,0.13333333333333333,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,63,10,0.18952588293294262,0.9466666666666667,0.5066666666666667
two_stage_0.10,0.16,0.14509197037825197,0.0029843020570531247,0.0,0.057717810433482175,0.8933333333333333,0.10666666666666667,6,57,12,0.7414280776958452,0.6933333333333334,0.25333333333333335
two_stage_0.25,0.16,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,61,12,0.3636144998385486,0.8933333333333333,0.4533333333333333
two_stage_0.50,0.14666666666666667,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,62,11,0.2865562962704097,0.92,0.48
two_stage_0.75,0.13333333333333333,0.1432754654026551,0.0011677970814562403,0.0,0.057717810433482175,0.9333333333333333,0.06666666666666667,2,63,10,0.2533106458341458,0.9333333333333333,0.49333333333333335
two_stage_1.00,0.14666666666666667,0.143177124248676,0.0010694559274771617,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,1,63,11,0.15286935115005693,0.96,0.52
two_stage_1.25,0.13333333333333333,0.143177124248676,0.0010694559274771617,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,1,64,10,0.1119202839848169,0.9733333333333334,0.5333333333333333
two_stage_1.50,0.12,0.143177124248676,0.0010694559274771617,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,1,65,9,0.06445454473665375,0.9866666666666667,0.5466666666666666
two_stage_2.00,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10,0.0,1.0,0.56
oracle,1.0,0.14210766832119884,0.0,0.0,0.0,1.0,0.0,0,0,75,0.8830374409547586,0.5333333333333333,0.6933333333333334
