policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,beta,mean_selected_lambda
direct_loss,0.36,0.1564245632278099,0.014316894906611047,0.0,0.10302316959890084,0.7066666666666667,0.29333333333333333,22,26,27,0.8710491700166212,0.5333333333333333,0.0,,
fixed_lambda_0.10,0.29333333333333333,0.1553567144657234,0.013249046144524558,0.0,0.10302316959890084,0.7466666666666667,0.25333333333333335,19,34,22,0.9717196241216741,0.4533333333333333,0.18666666666666668,,
fixed_lambda_0.25,0.22666666666666666,0.15203043393591575,0.009922765614716908,0.0,0.10302316959890084,0.8133333333333334,0.18666666666666668,14,44,17,0.9083038467385365,0.52,0.44,,
fixed_lambda_1.00,0.10666666666666667,0.14356777361468506,0.0014601052934862294,0.0,0.057717810433482175,0.9333333333333333,0.06666666666666667,3,64,8,0.18952588293294262,0.9466666666666667,0.8266666666666667,,
regularized_beta_0.0000,0.18666666666666668,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,56,14,0.6948937882358661,0.7333333333333333,0.6133333333333333,0.0,0.6573333333333333
regularized_beta_0.0010,0.2,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,55,15,0.7684342432699206,0.68,0.56,0.001,0.562
regularized_beta_0.0025,0.22666666666666666,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,53,17,0.8460442729961462,0.6133333333333333,0.5066666666666667,0.0025,0.44666666666666666
regularized_beta_0.0050,0.22666666666666666,0.14834609543950636,0.006238427118307517,0.0,0.09518820021482474,0.84,0.16,10,48,17,0.9406298342617462,0.5066666666666667,0.4,0.005,0.35733333333333334
regularized_beta_0.0100,0.29333333333333333,0.14950396733474974,0.007396299013550907,0.0,0.09518820021482474,0.8266666666666667,0.17333333333333334,11,42,22,0.9867802360763401,0.41333333333333333,0.30666666666666664,0.01,0.296
regularized_beta_0.0200,0.29333333333333333,0.15235398768317782,0.010246319361978985,0.0,0.09518820021482474,0.7733333333333333,0.22666666666666666,15,38,22,0.9980560796958198,0.36,0.2,0.02,0.22933333333333333
regularized_beta_0.0500,0.3466666666666667,0.1558974527685762,0.013789784447377338,0.0,0.10302316959890084,0.72,0.28,21,28,26,0.9083362485136994,0.49333333333333335,0.05333333333333334,0.05,0.037333333333333336
oracle_lambda,0.49333333333333335,0.14347946897298913,0.0013718006517902954,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,3,35,37,0.9980560796958196,0.36,0.25333333333333335,,
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10,0.0,1.0,0.88,,
action_oracle,1.0,0.14210766832119884,0.0,0.0,0.0,1.0,0.0,0,0,75,0.8830374409547586,0.5333333333333333,0.64,,
