feature_set,held_out_seed,train_events,test_events,test_harmful,test_beneficial,accuracy,balanced_accuracy,harmful_recall,harmful_precision,beneficial_specificity,roc_auc,tp,tn,fp,fn
gate,44001,55,10,1,9,0.7,0.8333333333333333,1.0,0.25,0.6666666666666666,1.0,1,6,3,0
gate,44002,60,5,0,5,0.8,nan,0.0,0.0,0.8,nan,0,4,1,0
gate,44003,56,9,4,5,0.5555555555555556,0.525,0.25,0.5,0.8,0.65,1,4,1,3
gate,44004,53,12,4,8,0.5,0.4375,0.25,0.25,0.625,0.5,1,5,3,3
gate,44005,51,14,1,13,0.5714285714285714,0.3076923076923077,0.0,0.0,0.6153846153846154,0.46153846153846156,0,8,5,1
gate,44006,59,6,2,4,1.0,1.0,1.0,1.0,1.0,1.0,2,4,0,0
gate,44007,60,5,2,3,0.6,0.6666666666666666,1.0,0.5,0.3333333333333333,0.6666666666666667,2,1,2,0
gate,44008,62,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1,2,0,0
gate,44010,64,1,0,1,1.0,nan,0.0,0.0,1.0,nan,0,1,0,0
state,44001,55,10,1,9,0.8,0.8888888888888888,1.0,0.3333333333333333,0.7777777777777778,1.0,1,7,2,0
state,44002,60,5,0,5,0.4,nan,0.0,0.0,0.4,nan,0,2,3,0
state,44003,56,9,4,5,0.7777777777777778,0.775,0.75,0.75,0.8,0.6500000000000001,3,4,1,1
state,44004,53,12,4,8,0.6666666666666666,0.625,0.5,0.5,0.75,0.6875,2,6,2,2
state,44005,51,14,1,13,0.5714285714285714,0.3076923076923077,0.0,0.0,0.6153846153846154,0.3076923076923077,0,8,5,1
state,44006,59,6,2,4,0.8333333333333334,0.875,1.0,0.6666666666666666,0.75,1.0,2,3,1,0
state,44007,60,5,2,3,0.6,0.6666666666666666,1.0,0.5,0.3333333333333333,0.6666666666666667,2,1,2,0
state,44008,62,3,1,2,0.6666666666666666,0.75,1.0,0.5,0.5,1.0,1,1,1,0
state,44010,64,1,0,1,1.0,nan,0.0,0.0,1.0,nan,0,1,0,0
loss_geometry,44001,55,10,1,9,0.8,0.8888888888888888,1.0,0.3333333333333333,0.7777777777777778,1.0,1,7,2,0
loss_geometry,44002,60,5,0,5,0.4,nan,0.0,0.0,0.4,nan,0,2,3,0
loss_geometry,44003,56,9,4,5,0.7777777777777778,0.75,0.5,1.0,1.0,0.8,2,5,0,2
loss_geometry,44004,53,12,4,8,0.6666666666666666,0.5625,0.25,0.5,0.875,0.875,1,7,1,3
loss_geometry,44005,51,14,1,13,0.35714285714285715,0.6538461538461539,1.0,0.1,0.3076923076923077,0.3076923076923077,1,4,9,0
loss_geometry,44006,59,6,2,4,0.6666666666666666,0.625,0.5,0.5,0.75,0.875,1,3,1,1
loss_geometry,44007,60,5,2,3,0.8,0.75,0.5,1.0,1.0,0.8333333333333334,1,3,0,1
loss_geometry,44008,62,3,1,2,0.6666666666666666,0.75,1.0,0.5,0.5,1.0,1,1,1,0
loss_geometry,44010,64,1,0,1,1.0,nan,0.0,0.0,1.0,nan,0,1,0,0
combined_compact,44001,55,10,1,9,0.8,0.8888888888888888,1.0,0.3333333333333333,0.7777777777777778,1.0,1,7,2,0
combined_compact,44002,60,5,0,5,0.4,nan,0.0,0.0,0.4,nan,0,2,3,0
combined_compact,44003,56,9,4,5,0.6666666666666666,0.625,0.25,1.0,1.0,0.8,1,5,0,3
combined_compact,44004,53,12,4,8,0.5833333333333334,0.5,0.25,0.3333333333333333,0.75,0.65625,1,6,2,3
combined_compact,44005,51,14,1,13,0.5,0.2692307692307692,0.0,0.0,0.5384615384615384,0.3846153846153846,0,7,6,1
combined_compact,44006,59,6,2,4,1.0,1.0,1.0,1.0,1.0,1.0,2,4,0,0
combined_compact,44007,60,5,2,3,0.8,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,2,2,1,0
combined_compact,44008,62,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1,2,0,0
combined_compact,44010,64,1,0,1,1.0,nan,0.0,0.0,1.0,nan,0,1,0,0
combined_extended,44001,55,10,1,9,0.8,0.8888888888888888,1.0,0.3333333333333333,0.7777777777777778,1.0,1,7,2,0
combined_extended,44002,60,5,0,5,0.4,nan,0.0,0.0,0.4,nan,0,2,3,0
combined_extended,44003,56,9,4,5,0.6666666666666666,0.625,0.25,1.0,1.0,0.6500000000000001,1,5,0,3
combined_extended,44004,53,12,4,8,0.5,0.375,0.0,0.0,0.75,0.75,0,6,2,4
combined_extended,44005,51,14,1,13,0.5,0.2692307692307692,0.0,0.0,0.5384615384615384,0.3846153846153846,0,7,6,1
combined_extended,44006,59,6,2,4,1.0,1.0,1.0,1.0,1.0,1.0,2,4,0,0
combined_extended,44007,60,5,2,3,0.8,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,2,2,1,0
combined_extended,44008,62,3,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1,2,0,0
combined_extended,44010,64,1,0,1,1.0,nan,0.0,0.0,1.0,nan,0,1,0,0
