record_type,feature,block_a_mean,block_b_mean,difference_b_minus_a,regime_auc_b_high,best_orientation_auc,block,action,count,fraction,pooled_loso_auc,pooled_accuracy,mean_seed_accuracy,mean_coefficient,mean_absolute_coefficient,sign_stability,model,mean_auc,min_auc,max_auc,held_out_block,roc_auc,test_harmful,test_beneficial
univariate_regime_geometry,context_support_distance,1.425242312990671,1.609899905236799,0.184657592246128,0.7027734170591313,0.7027734170591313,,,,,,,,,,,,,,,,,,
univariate_regime_geometry,action_support_distance,1.8279879827990466,2.058932444005782,0.23094446120673529,0.7111459968602826,0.7111459968602826,,,,,,,,,,,,,,,,,,
univariate_regime_geometry,action_support_minus_context,0.4027456698083756,0.4490325387689828,0.046286868960607186,0.5897435897435898,0.5897435897435898,,,,,,,,,,,,,,,,,,
univariate_regime_geometry,predicted_action_loss,0.17161002700349728,0.15512135658790685,-0.016488670415590434,0.4358974358974359,0.5641025641025641,,,,,,,,,,,,,,,,,,
univariate_regime_geometry,predicted_relative_loss,0.00017574724248834098,0.0006609134582627925,0.00048516621577445146,0.5463108320251177,0.5463108320251177,,,,,,,,,,,,,,,,,,
action_distribution,,,,,,,block_071_090,1,24,0.6153846153846154,,,,,,,,,,,,,,
action_distribution,,,,,,,block_071_090,2,15,0.38461538461538464,,,,,,,,,,,,,,
action_distribution,,,,,,,block_091_110,1,9,0.1836734693877551,,,,,,,,,,,,,,
action_distribution,,,,,,,block_091_110,2,40,0.8163265306122449,,,,,,,,,,,,,,
regime_identification_summary,,,,,,,,,,,0.575091575091575,0.5795454545454546,0.5800595238095239,,,,,,,,,,,
regime_coefficient_summary,context_support_distance,,,,,,,,,,,,,0.47925432716483196,0.47925432716483196,1,,,,,,,,
regime_coefficient_summary,action_support_distance,,,,,,,,,,,,,0.4581617131110698,0.4581617131110698,1,,,,,,,,
regime_coefficient_summary,action_support_minus_context,,,,,,,,,,,,,0.05201390423277286,0.06856003679232495,0.9166666666666666,,,,,,,,
regime_coefficient_summary,predicted_action_loss,,,,,,,,,,,,,-0.4095411183713973,0.4338872035684631,0.9583333333333334,,,,,,,,
regime_coefficient_summary,predicted_relative_loss,,,,,,,,,,,,,0.3235166743969333,0.3235166743969333,1,,,,,,,,
harm_modulation_summary,,,,,,,,,,,,,,,,,severe_proxy_only,0.8209721349256232,0.7635658914728681,0.8783783783783783,,,,
harm_modulation_summary,,,,,,,,,,,,,,,,,proxy_plus_rich_regime,0.5832809553739786,0.527027027027027,0.6395348837209303,,,,
harm_modulation_summary,,,,,,,,,,,,,,,,,proxy_rich_regime_interaction,0.5832809553739786,0.527027027027027,0.6395348837209303,,,,
harm_modulation_summary,,,,,,,,,,,,,,,,,rich_regime_only,0.2441860465116279,0.0,0.4883720930232558,,,,
harm_modulation_fold,,,,,,,,,,,,,,,,,severe_proxy_only,,,,block_071_090,0.8783783783783783,2,37
harm_modulation_fold,,,,,,,,,,,,,,,,,severe_proxy_only,,,,block_091_110,0.7635658914728681,6,43
harm_modulation_fold,,,,,,,,,,,,,,,,,rich_regime_only,,,,block_071_090,0.0,2,37
harm_modulation_fold,,,,,,,,,,,,,,,,,rich_regime_only,,,,block_091_110,0.4883720930232558,6,43
harm_modulation_fold,,,,,,,,,,,,,,,,,proxy_plus_rich_regime,,,,block_071_090,0.527027027027027,2,37
harm_modulation_fold,,,,,,,,,,,,,,,,,proxy_plus_rich_regime,,,,block_091_110,0.6395348837209303,6,43
harm_modulation_fold,,,,,,,,,,,,,,,,,proxy_rich_regime_interaction,,,,block_071_090,0.527027027027027,2,37
harm_modulation_fold,,,,,,,,,,,,,,,,,proxy_rich_regime_interaction,,,,block_091_110,0.6395348837209303,6,43
