architecture,regime,runs,mean_state_rmse_full,std_state_rmse_full,mean_state_rmse_0_24,mean_state_rmse_25_49,mean_state_rmse_50_99,mean_final_parameter_error,std_final_parameter_error
dynamic_raw,nominal,50,0.3708246778938019,0.03857907379746255,0.6026221891680553,0.247667499485966,0.23982714234639574,0.0031471784185160613,0.00272160193127984
normalized_innovation,nominal,50,0.3740504944252956,0.037928523008956064,0.5940460695871618,0.2647787419463254,0.24993167878846043,0.002973810669304351,0.00270600891574372
persistence_gated,nominal,50,0.3743882416689904,0.03798969235781708,0.5945341089364513,0.2653926986100088,0.24981486145545287,0.0030033281018551693,0.0026966743955192996
dynamic_raw,high_measurement_noise,50,0.6012332782349614,0.0718405275008779,0.8601486921085938,0.4532981045184711,0.4818245304579674,0.005907909529119526,0.005137413514715927
normalized_innovation,high_measurement_noise,50,0.613448486704765,0.08371548934469128,0.9203420622691456,0.44113394332132033,0.4553641476853214,0.007326276289673661,0.005842793997427271
persistence_gated,high_measurement_noise,50,0.6143201288301782,0.08412277878109599,0.9215791762507475,0.4420367108443504,0.45580725827511437,0.0073730120814850175,0.005845989486203891
dynamic_raw,high_process_noise,50,0.394205755290594,0.03628481414545801,0.5772683285460553,0.3043831561342674,0.3046329471343075,0.004455365808242984,0.0034052211529827033
normalized_innovation,high_process_noise,50,0.39641942016193793,0.036352167220414656,0.5783542847641789,0.30845472468019375,0.30673219364740256,0.004365881753987058,0.0034843669823169674
persistence_gated,high_process_noise,50,0.3967142581344432,0.03650769887647461,0.5789488280104835,0.30873495513835086,0.30671371474394077,0.004357643060763572,0.0035012836316745265
dynamic_raw,large_initial_parameter_mismatch,50,0.4128869250085998,0.03941671411841654,0.665722939266054,0.3346253173147728,0.23974675751898827,0.0031471797723698083,0.0027215962590302315
normalized_innovation,large_initial_parameter_mismatch,50,0.4202107634659555,0.038906329598238504,0.6736600596369676,0.34027863829637506,0.24978056921163752,0.002973635342597498,0.0027059235390324825
persistence_gated,large_initial_parameter_mismatch,50,0.42050279931920936,0.03893735850791769,0.6737950207901499,0.3413648933128216,0.24965300251232378,0.0030032440374116232,0.002696802993896918
dynamic_raw,abrupt_parameter_change,50,0.4161304569027301,0.03664806299778122,0.6026221891680553,0.247667499485966,0.35821909220376835,0.008863834891555566,0.006283095384701023
normalized_innovation,abrupt_parameter_change,50,0.4131118731665782,0.03467161472425161,0.5940460695871618,0.2647787419463254,0.35187440776999485,0.0085223991385587,0.0065656219990083454
persistence_gated,abrupt_parameter_change,50,0.413881176955967,0.034711046057316966,0.5945341089364513,0.2653926986100088,0.3529150302856495,0.008579584682378048,0.006579318438061491
dynamic_raw,transient_disturbance,50,0.44219095415612986,0.04094839363835178,0.6026221891680553,0.247667499485966,0.4158130282133644,0.003131164682454581,0.00270925588473143
normalized_innovation,transient_disturbance,50,0.44282572199562237,0.0421250730068084,0.5940460695871618,0.2647787419463254,0.4166168859150752,0.002960551349220557,0.002680864223378261
persistence_gated,transient_disturbance,50,0.44463522387887655,0.04232848947386022,0.5945341089364513,0.2653926986100088,0.4197190693543504,0.00299166252277667,0.002672634262831007
