test_index,best_persistence,predicted_under_risk,true_minimum_levels,predicted_safe_levels,true_safe_actions,predicted_safe_actions,intersection_actions,missed_safe_actions,false_safe_actions,safe_action_recall,safe_action_precision,true_responsive_action,true_conservative_action,responsive_action_retained,baseline_lambda,baseline_action,baseline_selects_responsive_action,error_type,false_safe_max_regret,true_safe_action_count,predicted_safe_action_count
0,1,0.02280515121673653,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
1,1,0.011179931936987006,0.00|0.10|0.25|1.00,0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.25,2,1,correct,0.0,2,2
2,1,0.011272623240007376,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
3,1,0.024593994812742055,0.00|0.10|0.25|1.00,0.25|1.00,2|3,3,3,2,,0.5,1.0,2,3,0,0.25,3,0,gate_failure,0.0,2,1
4,1,0.02638256442498864,0.00|0.10|0.25|1.00,1.00,1,1,1,,,1.0,1.0,1,1,1,1.0,1,1,correct,0.0,1,1
5,2,0.027565087328314322,1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
6,2,0.03441937398111071,0.10|0.25|1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
7,2,0.03425887702294003,0.10|0.25|1.00,0.25|1.00,2|3,3,3,2,,0.5,1.0,2,3,0,0.25,3,0,gate_failure,0.0,2,1
8,1,0.0460522615338116,0.00|0.10|0.25|1.00,1.00,1|3,3,3,1,,0.5,1.0,1,3,0,1.0,3,0,gate_failure,0.0,2,1
9,1,0.042567450027431425,0.00|0.10|0.25|1.00,0.10|0.25|1.00,2|3,3,3,2,,0.5,1.0,2,3,0,0.1,3,0,gate_failure,0.0,2,1
10,1,0.030993522774128465,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,3,3,,,1.0,1.0,3,3,1,0.0,3,1,correct,0.0,1,1
11,1,0.037248184346602375,0.00|0.10|0.25|1.00,0.25|1.00,1|3,3,3,1,,0.5,1.0,1,3,0,0.25,3,0,gate_failure,0.0,2,1
12,1,0.03664991528924929,0.00|0.10|0.25|1.00,0.10|0.25|1.00,1|2|3,2|3,2|3,1,,0.6666666666666666,1.0,1,3,0,0.1,2,0,gate_failure,0.0,3,2
13,1,0.018872985450852996,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,1|2|3,1|2|3,1|2|3,,,1.0,1.0,1,3,1,0.0,1,1,correct,0.0,3,3
14,1,0.02476059077747911,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
15,1,0.03670569933458623,0.00|0.10|0.25|1.00,1.00,1|3,3,3,1,,0.5,1.0,1,3,0,1.0,3,0,gate_failure,0.0,2,1
16,1,0.03144023959720714,0.00|0.10|0.25|1.00,1.00,1|3,3,3,1,,0.5,1.0,1,3,0,1.0,3,0,gate_failure,0.0,2,1
17,1,0.04538115275370475,0.00|0.10|0.25|1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
18,2,0.027912106784189476,0.00|0.10|0.25|1.00,1.00,2|3,3,3,2,,0.5,1.0,2,3,0,1.0,3,0,gate_failure,0.0,2,1
19,2,0.01849410688953061,0.25|1.00,0.10|0.25|1.00,2|3,1|2|3,2|3,,1,1.0,0.6666666666666666,2,3,1,0.1,1,0,selection_failure,0.09518820021482474,2,3
20,2,0.040866210078494974,0.00|0.10|0.25|1.00,0.10|0.25|1.00,3,3,3,,,1.0,1.0,3,3,1,0.1,3,1,correct,0.0,1,1
21,2,0.04299907391748921,0.00|0.10|0.25|1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
22,2,0.03670897179644808,0.00|0.10|0.25|1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
23,2,0.029217456164213465,0.00|0.10|0.25|1.00,0.25,2|3,3,3,2,,0.5,1.0,2,3,0,0.25,3,0,gate_failure,0.0,2,1
24,1,0.04592788430002088,0.00|0.10|0.25|1.00,0.25|1.00,2|3,3,3,2,,0.5,1.0,2,3,0,0.25,3,0,gate_failure,0.0,2,1
25,1,0.022694503764401536,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
26,1,0.023856148773027813,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
27,1,0.035066168873382424,0.00|0.10|0.25|1.00,0.25|1.00,1|3,3,3,1,,0.5,1.0,1,3,0,0.25,3,0,gate_failure,0.0,2,1
28,1,0.04750235102302107,0.00|0.10|0.25|1.00,1.00,1|2|3,3,3,1|2,,0.3333333333333333,1.0,1,3,0,1.0,3,0,gate_failure,0.0,3,1
29,1,0.023237868677336185,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
30,1,0.023780873381575078,0.00|0.10|0.25|1.00,1.00,1|3,3,3,1,,0.5,1.0,1,3,0,1.0,3,0,gate_failure,0.0,2,1
31,1,0.019701317976916273,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
32,3,0.041186146798371175,0.25|1.00,0.25|1.00,3,3,3,,,1.0,1.0,3,3,1,0.25,3,1,correct,0.0,1,1
33,3,0.0332631374973132,1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
34,2,0.042777572975419474,1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
35,2,0.03567679074560212,0.00|0.10|0.25|1.00,0.10|0.25|1.00,3,3,3,,,1.0,1.0,3,3,1,0.1,3,1,correct,0.0,1,1
36,2,0.0361148293602659,0.00|0.10|0.25|1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
37,2,0.03646748878062584,0.00|0.10|0.25|1.00,0.25|1.00,2|3,3,3,2,,0.5,1.0,2,3,0,0.25,3,0,gate_failure,0.0,2,1
38,2,0.02468004002788759,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,3,3,,,1.0,1.0,3,3,1,0.0,3,1,correct,0.0,1,1
39,2,0.03118213995305355,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
40,2,0.034663160168209146,0.00|0.10|0.25|1.00,0.25,2|3,3,3,2,,0.5,1.0,2,3,0,0.25,3,0,gate_failure,0.0,2,1
41,3,0.020797499966750708,0.00|0.10|0.25|1.00,1.00,1,1,1,,,1.0,1.0,1,1,1,1.0,1,1,correct,0.0,1,1
42,3,0.026822066442761982,0.00|0.10|0.25|1.00,1.00,1,1,1,,,1.0,1.0,1,1,1,1.0,1,1,correct,0.0,1,1
43,2,0.03951930612254934,1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
44,1,0.024436690988507717,0.00|0.10|0.25,1.00,1,3,,1,3,0.0,0.0,1,1,0,1.0,3,0,gate_failure,0.006622848127195047,1,1
45,1,0.021222086183046187,0.00|0.10|0.25|1.00,1.00,2|3,3,3,2,,0.5,1.0,2,3,0,1.0,3,0,gate_failure,0.0,2,1
46,1,0.01365850721967068,0.00|0.10|0.25|1.00,1.00,2|3,3,3,2,,0.5,1.0,2,3,0,1.0,3,0,gate_failure,0.0,2,1
47,1,0.01259623508265569,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
48,1,0.009318752027240971,0.00|0.10|0.25|1.00,1.00,1|3,3,3,1,,0.5,1.0,1,3,0,1.0,3,0,gate_failure,0.0,2,1
49,1,0.028818895238164565,0.00|0.10|0.25|1.00,1.00,1|3,3,3,1,,0.5,1.0,1,3,0,1.0,3,0,gate_failure,0.0,2,1
50,1,0.023520217346594405,0.00|0.10|0.25|1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
51,1,0.02958356952205886,0.00|0.10|0.25|1.00,1.00,1|3,3,3,1,,0.5,1.0,1,3,0,1.0,3,0,gate_failure,0.0,2,1
52,1,0.03759264192945932,0.00|0.10|0.25|1.00,1.00,1|3,3,3,1,,0.5,1.0,1,3,0,1.0,3,0,gate_failure,0.0,2,1
53,1,0.024715343027548062,0.00|0.10|0.25|1.00,0.25|1.00,1|3,1|3,1|3,,,1.0,1.0,1,3,1,0.25,1,1,correct,0.0,2,2
54,1,0.024536543970978028,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
55,1,0.04103390877169623,0.00|0.10|0.25|1.00,0.10|0.25|1.00,1|3,3,3,1,,0.5,1.0,1,3,0,0.1,3,0,gate_failure,0.0,2,1
56,3,0.03274480707504506,0.25|1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
57,3,0.03312817728570933,1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
58,2,0.03188031448587982,0.10|0.25|1.00,1.00,2|3,3,3,2,,0.5,1.0,2,3,0,1.0,3,0,gate_failure,0.0,2,1
59,1,0.02450722746566402,0.00|0.10|0.25|1.00,0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.1,2,1,correct,0.0,2,2
60,1,0.025880579595396618,0.00|0.10|0.25|1.00,1.00,1|3,3,3,1,,0.5,1.0,1,3,0,1.0,3,0,gate_failure,0.0,2,1
61,1,0.013577055933409007,0.00|0.10|0.25|1.00,0.10|0.25|1.00,2|3,3,3,2,,0.5,1.0,2,3,0,0.1,3,0,gate_failure,0.0,2,1
62,3,0.05077392905885838,1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
63,3,0.03441037613827375,1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
64,2,0.028331236741233785,0.25|1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
65,2,0.02666612018666824,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
66,2,0.024864527996219323,1.00,0.25,3,1,,3,1,0.0,0.0,3,3,0,0.25,1,0,gate_failure,0.03138122831986774,1,1
67,3,0.03559728941070486,0.25|1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
68,3,0.02766769465236672,0.00|0.10|0.25|1.00,1.00,1,1,1,,,1.0,1.0,1,1,1,1.0,1,1,correct,0.0,1,1
69,2,0.03267914010910429,1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
70,2,0.02537222256577211,1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
71,2,0.0203037311797933,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,2|3,2|3,2|3,,,1.0,1.0,2,3,1,0.0,2,1,correct,0.0,2,2
72,2,0.031056467919537645,1.00,1.00,3,3,3,,,1.0,1.0,3,3,1,1.0,3,1,correct,0.0,1,1
73,1,0.012339921780130157,0.00|0.10|0.25|1.00,0.00|0.10|0.25,1|3,1|3,1|3,,,1.0,1.0,1,3,1,0.0,1,1,correct,0.0,2,2
74,1,0.01009082743405334,0.00|0.10|0.25|1.00,0.00|0.10|0.25,1|3,1|3,1|3,,,1.0,1.0,1,3,1,0.0,1,1,correct,0.0,2,2
