learning_rate,final_estimated_a,parameter_absolute_error,prediction_rmse,max_parameter_error,sign_changes,convergence_step,behavior
2.0,0.92,0.0,0.05422176684690383,0.42000000000000004,0,1,convergent
2.01,0.9204218035039751,0.00042180350397502675,0.054448775199808945,0.42000000000000004,59,1,convergent-oscillatory
2.02,0.9215117406040613,0.0015117406040612291,0.055992906242993815,0.42000000000000004,59,1,convergent-oscillatory
2.03,0.9240399594655846,0.004039959465584553,0.06228674926642366,0.42000000000000004,59,1,convergent-oscillatory
2.04,0.9295421384814462,0.009542138481446139,0.08212814120934722,0.42000000000000004,59,1,convergent-oscillatory
2.05,0.9410114413828404,0.02101144138284039,0.13088610356237185,0.42000000000000004,59,,bounded-oscillatory
2.06,0.9641727646068123,0.0441727646068123,0.23100462181774223,0.42000000000000004,59,,bounded-oscillatory
2.07,1.0098011888167502,0.08980118881675014,0.41971869073890455,0.42000000000000004,59,,bounded-oscillatory
2.08,1.0978944974479032,0.1778944974479032,0.7632624996157492,0.42000000000000004,59,,bounded-oscillatory
2.09,1.2651076290425074,0.34510762904250736,1.3783952399885517,0.42000000000000004,59,,bounded-oscillatory
2.1,1.5778769504253531,0.6578769504253531,2.4681675238678022,0.6578769504253531,59,,bounded-oscillatory
2.11,2.1553896460639654,1.2353896460639655,4.382399217912766,1.2353896460639655,59,,unbounded
2.12,3.209458922590385,2.289458922590385,7.719344820622468,2.289458922590385,59,,unbounded
2.13,5.113220531248819,4.193220531248819,13.495460033591199,4.193220531248819,59,,unbounded
2.14,8.518627430765612,7.598627430765612,23.427204263088434,7.598627430765612,59,,unbounded
2.15,14.556024401252468,13.636024401252469,40.396228948821204,13.636024401252469,59,,unbounded
2.16,25.17091634497107,24.250916344971067,69.21322849895287,24.250916344971067,59,,unbounded
2.17,43.68866665137203,42.76866665137203,117.86578654558014,42.76866665137203,59,,unbounded
2.18,75.75567123320818,74.83567123320817,199.54676574201744,74.83567123320817,59,,unbounded
2.19,130.89887489158093,129.97887489158094,335.93555224562425,129.97887489158094,59,,unbounded
2.2,225.09537628536546,224.17537628536547,562.4810150990238,224.17537628536547,59,,unbounded
