record_type,representation,directions,mean_selected_threshold,threshold_absolute_difference,mean_test_harmful_recall,min_test_harmful_recall,mean_test_specificity,min_test_specificity,mean_test_balanced_accuracy,min_test_balanced_accuracy,transfer,training_block,test_block,selected_threshold,training_harmful_recall,training_specificity,training_precision,training_balanced_accuracy,test_harmful_recall,test_specificity,test_precision,test_balanced_accuracy,test_flagged_fraction,test_tp,test_fp,test_fn,test_tn,reference_mean,reference_std,reference_median,reference_mad
representation_summary,raw,2,0.06445712752403578,0.02052317089627189,0.75,0.5,0.7077309868007542,0.6046511627906976,0.7288654934003771,0.6554054054054055,,,,,,,,,,,,,,,,,,,,,
representation_summary,zscore,2,0.4537002998712837,0.843808740165767,0.75,0.5,0.7077309868007542,0.6046511627906976,0.7288654934003771,0.6554054054054055,,,,,,,,,,,,,,,,,,,,,
representation_summary,robust_z,2,0.5767679720125389,1.1535359440250779,0.75,0.5,0.7077309868007542,0.6046511627906976,0.7288654934003771,0.6554054054054055,,,,,,,,,,,,,,,,,,,,,
representation_summary,percentile,2,0.653061224489796,0.30612244897959184,0.75,0.5,0.7077309868007542,0.6046511627906976,0.7288654934003771,0.6554054054054055,,,,,,,,,,,,,,,,,,,,,
transfer,raw,,,,,,,,,,block_071_090_to_block_091_110,block_071_090,block_091_110,0.054195542075899834,1.0,0.5135135135135135,0.1,0.7567567567567568,1.0,0.6046511627906976,0.2608695652173913,0.8023255813953488,0.46938775510204084,6,17,0,26,0.05355866056414421,0.02003028425317414,0.054195542075899834,0.011093496616469502
transfer,raw,,,,,,,,,,block_091_110_to_block_071_090,block_091_110,block_071_090,0.07471871297217172,0.8333333333333334,0.8837209302325582,0.5,0.8585271317829457,0.5,0.8108108108108109,0.125,0.6554054054054055,0.20512820512820512,1,7,1,30,0.0566569343778642,0.020627777824954903,0.051061574193885975,0.013832704203331068
transfer,zscore,,,,,,,,,,block_071_090_to_block_091_110,block_071_090,block_091_110,0.031795929788400186,1.0,0.5135135135135135,0.1,0.7567567567567568,1.0,0.6046511627906976,0.2608695652173913,0.8023255813953488,0.46938775510204084,6,17,0,26,0.05355866056414421,0.02003028425317414,0.054195542075899834,0.011093496616469502
transfer,zscore,,,,,,,,,,block_091_110_to_block_071_090,block_091_110,block_071_090,0.8756046699541672,0.8333333333333334,0.8837209302325582,0.5,0.8585271317829457,0.5,0.8108108108108109,0.125,0.6554054054054055,0.20512820512820512,1,7,1,30,0.0566569343778642,0.020627777824954903,0.051061574193885975,0.013832704203331068
transfer,robust_z,,,,,,,,,,block_071_090_to_block_091_110,block_071_090,block_091_110,0.0,1.0,0.5135135135135135,0.1,0.7567567567567568,1.0,0.6046511627906976,0.2608695652173913,0.8023255813953488,0.46938775510204084,6,17,0,26,0.05355866056414421,0.02003028425317414,0.054195542075899834,0.011093496616469502
transfer,robust_z,,,,,,,,,,block_091_110_to_block_071_090,block_091_110,block_071_090,1.1535359440250779,0.8333333333333334,0.8837209302325582,0.5,0.8585271317829457,0.5,0.8108108108108109,0.125,0.6554054054054055,0.20512820512820512,1,7,1,30,0.0566569343778642,0.020627777824954903,0.051061574193885975,0.013832704203331068
transfer,percentile,,,,,,,,,,block_071_090_to_block_091_110,block_071_090,block_091_110,0.5,1.0,0.5135135135135135,0.1,0.7567567567567568,1.0,0.6046511627906976,0.2608695652173913,0.8023255813953488,0.46938775510204084,6,17,0,26,0.05355866056414421,0.02003028425317414,0.054195542075899834,0.011093496616469502
transfer,percentile,,,,,,,,,,block_091_110_to_block_071_090,block_091_110,block_071_090,0.8061224489795918,0.8333333333333334,0.8837209302325582,0.5,0.8585271317829457,0.5,0.8108108108108109,0.125,0.6554054054054055,0.20512820512820512,1,7,1,30,0.0566569343778642,0.020627777824954903,0.051061574193885975,0.013832704203331068
