metric,value
seeds,10
responsive_gain_no_regret_cost,2
responsive_gain_with_regret_cost,7
no_gain_no_regret_cost,1
no_gain_with_regret_cost,0
zero_harmful_expansion_seeds,3
regret_nonincrease_seeds,3
regret_increase_seeds,7
under_nonincrease_seeds,3
under_increase_seeds,7
mean_delta_regret,0.001077326485140713
median_delta_regret,0.0007493437305269792
mean_delta_under,1.5
mean_delta_over,-4.1
mean_delta_entropy,0.11114544701398854
mean_delta_retention,0.06786710402633118
mean_delta_recall,0.03524934148684979
mean_delta_precision,-0.013170624438112765
mean_harmful_expansions,1.5
mean_beneficial_expansions,5.0
mean_recovered_responsive,5.2
corr_delta_retention_delta_regret,0.11327437907845779
corr_harmful_delta_regret,0.9767728861943985
corr_harmful_delta_under,0.9999999999999998
corr_recovered_delta_regret,0.12194037792154719
corr_beneficial_delta_regret,0.17734654315092913
worst_regret_seed,44004
worst_regret_delta,0.0028847979199894992
worst_under_seed,44003
worst_under_delta,4
best_retention_gain_seed,44005
best_retention_gain,0.17105263157894735
