condition,true_class,sequence_replicate,evidence_budget,policy,selected_action,reference_action,action_matches_reference,parameter_learning_scale,process_uncertainty_scale,allow_commitment,allow_structural_intervention,estimated_p_pass,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,reference_p_pass,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,post_event_state_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,mean_post_event_nis,recovered,recovery_time
measurement_noise_0.850,measurement_noise,0,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.6,0.0,0.4,0.0,0.2,0.22,0.8,0.06,0.3889414116590284,0.008726315002904876,0.002671070193641989,0.855237802081083,0.951487242738321,True,0
measurement_noise_0.850,measurement_noise,0,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.6,0.0,0.4,0.0,0.2,0.22,0.8,0.06,0.39116781226701125,0.008681120134551832,0.0027970594791975056,0.8547157467880692,0.9431752211820043,True,0
measurement_noise_0.850,measurement_noise,0,5,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.6,0.0,0.4,0.0,0.2,0.22,0.8,0.06,0.39116781226701125,0.008681120134551832,0.0027970594791975056,0.8547157467880692,0.9431752211820043,True,0
measurement_noise_0.850,measurement_noise,0,10,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.4,0.1,0.6,0.0,0.2,0.22,0.8,0.06,0.3889414116590284,0.008726315002904876,0.002671070193641989,0.855237802081083,0.951487242738321,True,0
measurement_noise_0.850,measurement_noise,0,10,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.4,0.1,0.6,0.0,0.2,0.22,0.8,0.06,0.39116781226701125,0.008681120134551832,0.0027970594791975056,0.8547157467880692,0.9431752211820043,True,0
measurement_noise_0.850,measurement_noise,0,10,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.4,0.1,0.6,0.0,0.2,0.22,0.8,0.06,0.39116781226701125,0.008681120134551832,0.0027970594791975056,0.8547157467880692,0.9431752211820043,True,0
measurement_noise_0.850,measurement_noise,0,20,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.2,0.25,0.8,0.05,0.2,0.22,0.8,0.06,0.3889414116590284,0.008726315002904876,0.002671070193641989,0.855237802081083,0.951487242738321,True,0
measurement_noise_0.850,measurement_noise,0,20,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.25,0.8,0.05,0.2,0.22,0.8,0.06,0.39116781226701125,0.008681120134551832,0.0027970594791975056,0.8547157467880692,0.9431752211820043,True,0
measurement_noise_0.850,measurement_noise,0,20,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.25,0.8,0.05,0.2,0.22,0.8,0.06,0.39116781226701125,0.008681120134551832,0.0027970594791975056,0.8547157467880692,0.9431752211820043,True,0
measurement_noise_0.850,measurement_noise,1,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.2,0.0,0.8,0.0,0.2,0.22,0.8,0.06,0.43131680307393644,0.00957798478414053,0.0024670918680762544,0.8183021462638829,0.9466417011157904,True,0
measurement_noise_0.850,measurement_noise,1,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.0,0.8,0.0,0.2,0.22,0.8,0.06,0.43093795467531704,0.00950889100435601,0.002381284780171744,0.8175019327209117,0.93789825084223,True,0
measurement_noise_0.850,measurement_noise,1,5,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.0,0.8,0.0,0.2,0.22,0.8,0.06,0.43093795467531704,0.00950889100435601,0.002381284780171744,0.8175019327209117,0.93789825084223,True,0
