condition,true_class,run_index,seed,evidence_time,predicted_condition,condition_correct,target_p_fail_A,target_p_fail_C,target_p_fail_S,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,marginal_mae
measurement_noise_0.850,measurement_noise,100,41100,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21825401024629754,0.7400372434451061,0.06195618336608885,0.021221643224895077
measurement_noise_0.850,measurement_noise,101,41101,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2340944782448916,0.6597480782774748,0.0675057083874779,0.0539507027849649
measurement_noise_0.850,measurement_noise,102,41102,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22867059676327164,0.6477792296395267,0.07929214999776954,0.06006117237383817
measurement_noise_0.850,measurement_noise,103,41103,60,parameter_mismatch_delta_0.520,False,0.22,0.8,0.06,0.14232584069515714,0.6567328993309284,0.03291376112823044,0.08267583294856136
measurement_noise_0.850,measurement_noise,104,41104,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2262741741643447,0.6271919717239699,0.06966315181328403,0.06291511808455295
measurement_noise_0.850,measurement_noise,105,41105,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.17302107573944106,0.6877752087815538,0.04449390256924297,0.05823660430325406
measurement_noise_0.850,measurement_noise,106,41106,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.15932359107388983,0.6778231244515333,0.03905288305004448,0.06793346714151083
measurement_noise_0.850,measurement_noise,107,41107,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21426941839401029,0.7270534799494411,0.06339370361761193,0.027356935091386852
measurement_noise_0.850,measurement_noise,108,41108,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.25401067198595584,0.6094232938453521,0.07669598207644923,0.08042778673901767
measurement_noise_0.850,measurement_noise,109,41109,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22939642761434792,0.6901556855732336,0.06597396307471197,0.04173823503860878
measurement_noise_0.850,measurement_noise,110,41110,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.19976740015126995,0.750673611735523,0.05374175203464557,0.025272412026187158
measurement_noise_0.850,measurement_noise,111,41111,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.1942631451458789,0.6740952974313205,0.058322971296592314,0.05110619537540279
measurement_noise_0.850,measurement_noise,112,41112,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.15462432391487155,0.6646253420708543,0.03822666133268781,0.07417455756052879
measurement_noise_0.850,measurement_noise,113,41113,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22602362300141227,0.714635796090243,0.06479541661220278,0.03206108117445738
measurement_noise_0.850,measurement_noise,114,41114,60,parameter_mismatch_delta_0.520,False,0.22,0.8,0.06,0.14862512978377768,0.6396097010796682,0.03834722908091464,0.08447264668521318
measurement_noise_0.850,measurement_noise,115,41115,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.19769842943598465,0.7475512746905622,0.05318476671804976,0.02718850971846783
measurement_noise_0.850,measurement_noise,116,41116,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21939714640433525,0.7460692876741846,0.061532134034522415,0.018688566652000884
measurement_noise_0.850,measurement_noise,117,41117,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22713786044386813,0.6618212597437019,0.07347280511062092,0.052929801936929075
measurement_noise_0.850,measurement_noise,118,41118,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2069133919345216,0.7595863214907242,0.05587197558574418,0.019209436996336673
measurement_noise_0.850,measurement_noise,119,41119,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22223635929772334,0.7372345283535047,0.06278826586812336,0.022596698937447358
measurement_noise_0.850,measurement_noise,120,41120,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21602585209460937,0.7293195913140242,0.05898839511473907,0.025222053825542455
measurement_noise_0.850,measurement_noise,121,41121,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20017573477513487,0.7398616401926279,0.05527532279628193,0.02822910074531845
measurement_noise_0.850,measurement_noise,122,41122,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.19549270246929537,0.7381282450922483,0.05219885273603468,0.03139339990080724
measurement_noise_0.850,measurement_noise,123,41123,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2186218355095709,0.6238794397687116,0.06462299349076511,0.060707239404160875
measurement_noise_0.850,measurement_noise,124,41124,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22485432321171114,0.7173471512632585,0.06469418935015704,0.03073378709953656
measurement_noise_0.850,measurement_noise,125,41125,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22860085476286043,0.6980641759403251,0.06468374626311194,0.038406808361882434
