model,quantile_bin,rows,mean_predicted_risk,observed_unsafe_fraction
balanced_logistic,1,944,0.14353458723049448,0.0
balanced_logistic,2,943,0.15357400729966209,0.008483563096500531
balanced_logistic,3,944,0.1729954880232374,0.022245762711864406
balanced_logistic,4,943,0.23762330777066246,0.015906680805938492
balanced_logistic,5,944,0.2540859561019016,0.06991525423728813
balanced_logistic,6,943,0.2771618290473889,0.176033934252386
balanced_logistic,7,943,0.48901925276902125,0.352067868504772
balanced_logistic,8,944,0.6485330254723214,0.3516949152542373
balanced_logistic,9,943,0.6677334970376578,0.4984093319194062
balanced_logistic,10,944,0.7400594975090078,0.4565677966101695
unweighted_logistic,1,944,0.076609674910034,0.0
unweighted_logistic,2,943,0.07978707116465689,0.008483563096500531
unweighted_logistic,3,944,0.08576603696321919,0.022245762711864406
unweighted_logistic,4,943,0.10536828984006447,0.015906680805938492
unweighted_logistic,5,944,0.11017071710285019,0.06885593220338983
unweighted_logistic,6,943,0.11676690927346169,0.17815482502651114
unweighted_logistic,7,943,0.21243065290182156,0.3404029692470838
unweighted_logistic,8,944,0.32424246996690176,0.3548728813559322
unweighted_logistic,9,943,0.33475507295589857,0.49628844114528103
unweighted_logistic,10,944,0.387253815824245,0.4661016949152542
balanced_source_prior_corrected,1,944,0.0421836177741537,0.0
balanced_source_prior_corrected,2,943,0.0455114145695881,0.008483563096500531
balanced_source_prior_corrected,3,944,0.052136601667945676,0.022245762711864406
balanced_source_prior_corrected,4,943,0.07573619512067467,0.015906680805938492
balanced_source_prior_corrected,5,944,0.08216543809175555,0.06991525423728813
balanced_source_prior_corrected,6,943,0.09157605577317283,0.176033934252386
balanced_source_prior_corrected,7,943,0.21474429398654404,0.352067868504772
balanced_source_prior_corrected,8,944,0.32657728224128757,0.3516949152542373
balanced_source_prior_corrected,9,943,0.3456570507536172,0.4984093319194062
balanced_source_prior_corrected,10,944,0.4405233901358432,0.4565677966101695
