policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count
fixed_k1,0.5333333333333333,0.16770921914966194,0.025601550828463094,0.0,0.10302316959890084,0.5333333333333333,0.4666666666666667,35,0,40
fixed_k2,0.3333333333333333,0.14792748209349874,0.00581981377229988,0.0,0.06960889750293561,0.84,0.16,10,40,25
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10
direct_loss_model,0.30666666666666664,0.14609531806554793,0.003987649744349093,0.0,0.057717810433482175,0.8666666666666667,0.13333333333333333,8,44,23
fixed_risk_0.010,0.13333333333333333,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,63,10
adaptive_risk_0.25,0.14666666666666667,0.1439861899922833,0.0018785216710844657,0.0,0.057717810433482175,0.92,0.08,4,60,11
adaptive_risk_0.50,0.14666666666666667,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,62,11
adaptive_risk_1.00,0.13333333333333333,0.1432754654026551,0.0011677970814562403,0.0,0.057717810433482175,0.9333333333333333,0.06666666666666667,2,63,10
adaptive_risk_1.50,0.13333333333333333,0.1432754654026551,0.0011677970814562403,0.0,0.057717810433482175,0.9333333333333333,0.06666666666666667,2,63,10
adaptive_risk_2.00,0.13333333333333333,0.1432754654026551,0.0011677970814562403,0.0,0.057717810433482175,0.9333333333333333,0.06666666666666667,2,63,10
oracle,1.0,0.14210766832119884,0.0,0.0,0.0,1.0,0.0,0,0,75
