model,held_out_seed,test_events,test_harmful,test_beneficial,balanced_accuracy,harmful_recall,harmful_precision,beneficial_specificity,roc_auc,tp,tn,fp,fn
state_only,44011,1,0,1,nan,0.0,0.0,0.0,nan,0,0,1,0
state_only,44012,2,0,2,nan,0.0,0.0,0.5,nan,0,1,1,0
state_only,44014,3,0,3,nan,0.0,0.0,0.3333333333333333,nan,0,1,2,0
state_only,44015,4,1,3,0.0,0.0,0.0,0.0,0.0,0,0,3,1
state_only,44016,6,0,6,nan,0.0,0.0,0.5,nan,0,3,3,0
state_only,44017,2,0,2,nan,0.0,0.0,0.0,nan,0,0,2,0
state_only,44019,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
state_only,44020,6,0,6,nan,0.0,0.0,0.6666666666666666,nan,0,4,2,0
state_only,44021,3,1,2,0.25,0.0,0.0,0.5,0.5,0,1,1,1
state_only,44023,3,0,3,nan,0.0,0.0,0.6666666666666666,nan,0,2,1,0
state_only,44024,1,1,0,nan,1.0,1.0,nan,nan,1,0,0,0
state_only,44025,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
state_only,44029,2,0,2,nan,0.0,0.0,0.0,nan,0,0,2,0
state_only,44030,6,2,4,0.25,0.0,0.0,0.5,0.25,0,2,2,2
support_only,44011,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
support_only,44012,2,0,2,nan,0.0,0.0,0.5,nan,0,1,1,0
support_only,44014,3,0,3,nan,0.0,0.0,0.3333333333333333,nan,0,1,2,0
support_only,44015,4,1,3,0.8333333333333333,1.0,0.5,0.6666666666666666,1.0,1,2,1,0
support_only,44016,6,0,6,nan,0.0,0.0,0.6666666666666666,nan,0,4,2,0
support_only,44017,2,0,2,nan,0.0,0.0,0.5,nan,0,1,1,0
support_only,44019,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
support_only,44020,6,0,6,nan,0.0,0.0,0.6666666666666666,nan,0,4,2,0
support_only,44021,3,1,2,1.0,1.0,1.0,1.0,1.0,1,2,0,0
support_only,44023,3,0,3,nan,0.0,0.0,0.3333333333333333,nan,0,1,2,0
support_only,44024,1,1,0,nan,1.0,1.0,nan,nan,1,0,0,0
support_only,44025,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
support_only,44029,2,0,2,nan,0.0,0.0,0.5,nan,0,1,1,0
support_only,44030,6,2,4,0.75,0.5,1.0,1.0,0.875,1,4,0,1
state_plus_support,44011,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
state_plus_support,44012,2,0,2,nan,0.0,0.0,0.5,nan,0,1,1,0
state_plus_support,44014,3,0,3,nan,0.0,0.0,0.0,nan,0,0,3,0
state_plus_support,44015,4,1,3,0.8333333333333333,1.0,0.5,0.6666666666666666,1.0,1,2,1,0
state_plus_support,44016,6,0,6,nan,0.0,0.0,0.6666666666666666,nan,0,4,2,0
state_plus_support,44017,2,0,2,nan,0.0,0.0,0.0,nan,0,0,2,0
state_plus_support,44019,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
state_plus_support,44020,6,0,6,nan,0.0,0.0,0.6666666666666666,nan,0,4,2,0
state_plus_support,44021,3,1,2,1.0,1.0,1.0,1.0,1.0,1,2,0,0
state_plus_support,44023,3,0,3,nan,0.0,0.0,0.3333333333333333,nan,0,1,2,0
state_plus_support,44024,1,1,0,nan,1.0,1.0,nan,nan,1,0,0,0
state_plus_support,44025,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
state_plus_support,44029,2,0,2,nan,0.0,0.0,0.5,nan,0,1,1,0
state_plus_support,44030,6,2,4,0.75,0.5,1.0,1.0,0.875,1,4,0,1
state_support_interaction,44011,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
state_support_interaction,44012,2,0,2,nan,0.0,0.0,0.5,nan,0,1,1,0
state_support_interaction,44014,3,0,3,nan,0.0,0.0,0.0,nan,0,0,3,0
state_support_interaction,44015,4,1,3,0.8333333333333333,1.0,0.5,0.6666666666666666,1.0,1,2,1,0
state_support_interaction,44016,6,0,6,nan,0.0,0.0,0.6666666666666666,nan,0,4,2,0
state_support_interaction,44017,2,0,2,nan,0.0,0.0,0.0,nan,0,0,2,0
state_support_interaction,44019,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
state_support_interaction,44020,6,0,6,nan,0.0,0.0,0.6666666666666666,nan,0,4,2,0
state_support_interaction,44021,3,1,2,1.0,1.0,1.0,1.0,1.0,1,2,0,0
state_support_interaction,44023,3,0,3,nan,0.0,0.0,0.3333333333333333,nan,0,1,2,0
state_support_interaction,44024,1,1,0,nan,1.0,1.0,nan,nan,1,0,0,0
state_support_interaction,44025,1,0,1,nan,0.0,0.0,1.0,nan,0,1,0,0
state_support_interaction,44029,2,0,2,nan,0.0,0.0,0.5,nan,0,1,1,0
state_support_interaction,44030,6,2,4,0.75,0.5,1.0,1.0,0.875,1,4,0,1
