held_out_population,feature,total_fits,selection_frequency,sign_consistency,median_nonzero_coefficient,selected
population_001_010,context_benefit_probability,1250,0.6328,1.0,-0.798060738409971,1
population_001_010,context_release_probability,1250,0.3248,0.8817733990147784,0.27082359614342383,0
population_001_010,context_anchor_age,1250,0.2552,0.9749216300940439,-0.27544203055799676,0
population_001_010,context_trigger_score,1250,0.4608,0.9861111111111112,-0.3764941344833771,0
population_001_010,context_feature_distance,1250,0.3104,0.6005154639175257,-0.11974668364679031,0
population_001_010,context_current_mismatch_indicator,1250,0.4696,0.9080068143100511,0.3523746915628115,0
population_001_010,context_current_parameter_estimate,1250,0.6176,0.9805699481865285,-0.5182130253429614,1
population_001_010,predicted_under_risk,1250,0.3784,0.9746300211416491,-0.3320906387959427,0
population_001_010,predicted_primary_regret,1250,0.9112,1.0,0.7326866367549013,1
population_001_010,predicted_expanded_regret,1250,0.4448,1.0,0.5172714840301367,0
population_001_010,predicted_regret_margin,1250,0.0328,0.5609756097560976,0.14247216186765804,0
population_071_110,context_benefit_probability,1250,0.22,0.9818181818181818,-0.4880619386630042,0
population_071_110,context_release_probability,1250,0.4264,0.9943714821763602,0.48056362289295845,0
population_071_110,context_anchor_age,1250,0.7048,1.0,-0.9693638669036089,1
population_071_110,context_trigger_score,1250,0.5032,0.9952305246422893,-0.3464971920171157,0
population_071_110,context_feature_distance,1250,0.308,0.9974025974025974,-0.7345043513217965,0
population_071_110,context_current_mismatch_indicator,1250,0.6832,0.9882903981264637,0.380056430360629,1
population_071_110,context_current_parameter_estimate,1250,0.2088,0.9080459770114943,-0.19477761609216826,0
population_071_110,predicted_under_risk,1250,0.3432,0.8904428904428905,0.22658317189193575,0
population_071_110,predicted_primary_regret,1250,0.5064,0.9478672985781991,0.22657031023773178,0
population_071_110,predicted_expanded_regret,1250,0.3968,0.9879032258064516,0.18585357962958515,0
population_071_110,predicted_regret_margin,1250,0.1256,0.6560509554140127,0.06604209927539835,0
