policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,support_threshold,mean_safe_action_recall,mean_safe_action_precision,responsive_action_retention,expansion_contexts,recovered_responsive_contexts,harmful_expansion_contexts,beneficial_expansion_contexts,retained_costaware_contexts
primary_baseline,0.2,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,55,15,0.7835807040488098,0.6666666666666666,0.56,,0.8,0.9688888888888889,0.6266666666666667,0,0,0,0,
support_threshold_2.50,0.29333333333333333,0.14525536599514763,0.0031476976739487957,0.0,0.09518820021482474,0.9066666666666666,0.09333333333333334,5,48,22,0.8872588329565639,0.5733333333333334,0.4666666666666667,2.5,0.86,0.9755555555555555,0.7333333333333333,8,8,0,7,8
support_threshold_3.00,0.32,0.14570177775408394,0.0035941094328850883,0.0,0.09518820021482474,0.8933333333333333,0.10666666666666667,6,45,24,0.9406298342617462,0.5066666666666667,0.4,3.0,0.8866666666666667,0.9688888888888889,0.7866666666666666,13,12,1,11,13
support_threshold_3.50,0.3466666666666667,0.14570177775408394,0.0035941094328850883,0.0,0.09518820021482474,0.8933333333333333,0.10666666666666667,6,43,26,0.968377256036967,0.44,0.3466666666666667,3.5,0.92,0.9688888888888889,0.8533333333333334,18,17,1,16,18
support_threshold_4.00,0.3466666666666667,0.14570177775408394,0.0035941094328850883,0.0,0.09518820021482474,0.8933333333333333,0.10666666666666667,6,43,26,0.968377256036967,0.44,0.3466666666666667,4.0,0.92,0.9688888888888889,0.8533333333333334,18,17,1,16,18
support_threshold_4.50,0.3466666666666667,0.14570177775408394,0.0035941094328850883,0.0,0.09518820021482474,0.8933333333333333,0.10666666666666667,6,43,26,0.968377256036967,0.44,0.3466666666666667,4.5,0.92,0.9688888888888889,0.8533333333333334,18,17,1,16,18
support_threshold_5.00,0.3466666666666667,0.14570177775408394,0.0035941094328850883,0.0,0.09518820021482474,0.8933333333333333,0.10666666666666667,6,43,26,0.968377256036967,0.44,0.3466666666666667,5.0,0.92,0.9688888888888889,0.8533333333333334,18,17,1,16,18
support_threshold_5.50,0.3466666666666667,0.14570177775408394,0.0035941094328850883,0.0,0.09518820021482474,0.8933333333333333,0.10666666666666667,6,43,26,0.968377256036967,0.44,0.3466666666666667,5.5,0.92,0.9688888888888889,0.8533333333333334,18,17,1,16,18
responsive_action_oracle,0.49333333333333335,0.14347946897298913,0.0013718006517902954,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,3,35,37,0.9980560796958196,0.36,0.25333333333333335,,1.0,1.0,1.0,,,0,,
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10,0.0,1.0,0.88,,,,,,,,,
action_oracle,1.0,0.14210766832119884,0.0,0.0,0.0,1.0,0.0,0,0,75,0.8830374409547586,0.5333333333333333,0.64,,,,,,,,,
