condition,true_class,run_index,evidence_time,scheme,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,target_p_fail_A,target_p_fail_C,target_p_fail_S,A_mae,C_mae,S_mae,marginal_mae
measurement_noise_0.850,measurement_noise,100,60,uniform,0.23045616453050474,0.7054971007097457,0.06692365952779687,0.22,0.8,0.06,0.010456164530504741,0.09450289929025435,0.006923659527796874,0.037294241116185324
measurement_noise_0.850,measurement_noise,101,60,uniform,0.22161332292369007,0.7669683489549646,0.06081582013786626,0.22,0.8,0.06,0.0016133229236900692,0.03303165104503547,0.0008158201378662619,0.011820264702197268
measurement_noise_0.850,measurement_noise,102,60,uniform,0.22986386153195434,0.7229791030278743,0.0638003865388293,0.22,0.8,0.06,0.009863861531954343,0.07702089697212577,0.0038003865388293034,0.030228381680969807
measurement_noise_0.850,measurement_noise,103,60,uniform,0.22262233971873183,0.7679317754885681,0.06177408148218967,0.22,0.8,0.06,0.0026223397187318254,0.032068224511431986,0.0017740814821896739,0.012154881904117829
measurement_noise_0.850,measurement_noise,104,60,uniform,0.22808677001788497,0.7366259441687655,0.06450197626305476,0.22,0.8,0.06,0.008086770017884964,0.06337405583123457,0.004501976263054763,0.02532093403739143
measurement_noise_0.850,measurement_noise,105,60,uniform,0.22287753266860294,0.7641630383146146,0.061209439756167196,0.22,0.8,0.06,0.002877532668602939,0.035836961685385416,0.001209439756167198,0.013307978036718517
measurement_noise_0.850,measurement_noise,106,60,uniform,0.22368578279944332,0.7583665269797245,0.061074536114624454,0.22,0.8,0.06,0.0036857827994433157,0.041633473020275535,0.0010745361146244567,0.015464597311447769
measurement_noise_0.850,measurement_noise,107,60,uniform,0.22589794124904738,0.7308169936748029,0.06263157160403285,0.22,0.8,0.06,0.005897941249047384,0.06918300632519714,0.0026315716040328507,0.02590417305942579
measurement_noise_0.850,measurement_noise,108,60,uniform,0.22545647172761363,0.7489162032227958,0.06083026682001004,0.22,0.8,0.06,0.0054564717276136265,0.051083796777204205,0.0008302668200100422,0.019123511774942623
measurement_noise_0.850,measurement_noise,109,60,uniform,0.22394492153020337,0.741348527083377,0.061655437055600934,0.22,0.8,0.06,0.003944921530203371,0.05865147291662309,0.0016554370556009362,0.0214172771674758
measurement_noise_0.850,measurement_noise,110,60,uniform,0.22413480858627918,0.7439429893838637,0.06115751324586606,0.22,0.8,0.06,0.004134808586279182,0.05605701061613633,0.0011575132458660625,0.020449777482760525
measurement_noise_0.850,measurement_noise,111,60,uniform,0.22468387155252828,0.7187581509868239,0.06035570956100572,0.22,0.8,0.06,0.004683871552528279,0.0812418490131761,0.0003557095610057237,0.02876047670890337
measurement_noise_0.850,measurement_noise,112,60,uniform,0.22782818235364144,0.6899007500112821,0.06097322372442442,0.22,0.8,0.06,0.007828182353641439,0.1100992499887179,0.0009732237244244255,0.03963355202226125
measurement_noise_0.850,measurement_noise,113,60,uniform,0.22298028957685828,0.7513635953626517,0.060417073698157284,0.22,0.8,0.06,0.0029802895768582804,0.04863640463734831,0.0004170736981572859,0.01734458930412129
measurement_noise_0.850,measurement_noise,114,60,uniform,0.22496832201600253,0.7243989268132937,0.0650595427376997,0.22,0.8,0.06,0.00496832201600253,0.07560107318670639,0.005059542737699707,0.02854297931346954
measurement_noise_0.850,measurement_noise,115,60,uniform,0.2341236560472516,0.6937911034617024,0.06192013015938995,0.22,0.8,0.06,0.014123656047251604,0.10620889653829768,0.0019201301593899517,0.04075089424831308
measurement_noise_0.850,measurement_noise,116,60,uniform,0.23785572989990877,0.6800772178609981,0.06607117206490422,0.22,0.8,0.06,0.017855729899908773,0.11992278213900198,0.006071172064904221,0.04794989470127166
measurement_noise_0.850,measurement_noise,117,60,uniform,0.22260354889300643,0.7494476839765697,0.06058389765230943,0.22,0.8,0.06,0.00260354889300643,0.050552316023430355,0.0005838976523094355,0.017913254189582072
measurement_noise_0.850,measurement_noise,118,60,uniform,0.22973157112751122,0.7172509449951632,0.06672686539702254,0.22,0.8,0.06,0.009731571127511218,0.08274905500483687,0.006726865397022538,0.03306916384312354
measurement_noise_0.850,measurement_noise,119,60,uniform,0.218867876740879,0.7373957375477034,0.05882484141932051,0.22,0.8,0.06,0.0011321232591209873,0.06260426245229667,0.0011751585806794862,0.021637181430699048
measurement_noise_0.850,measurement_noise,120,60,uniform,0.23084259420215472,0.7141141616697834,0.06679706760349434,0.22,0.8,0.06,0.01084259420215472,0.08588583833021668,0.006797067603494342,0.03450850004528858
measurement_noise_0.850,measurement_noise,121,60,uniform,0.23759717007246872,0.6918408623715527,0.06345578397105063,0.22,0.8,0.06,0.01759717007246872,0.10815913762844731,0.0034557839710506327,0.04307069722398889
measurement_noise_0.850,measurement_noise,122,60,uniform,0.22451364165109863,0.7500681466420914,0.06282693627737321,0.22,0.8,0.06,0.004513641651098632,0.04993185335790862,0.00282693627737321,0.019090810428793487
measurement_noise_0.850,measurement_noise,123,60,uniform,0.2293278803412374,0.7282349956208793,0.06458239080729189,0.22,0.8,0.06,0.00932788034123741,0.0717650043791207,0.004582390807291892,0.028558425175883334
measurement_noise_0.850,measurement_noise,124,60,uniform,0.22854159249388667,0.7284628630750897,0.06536953499022698,0.22,0.8,0.06,0.008541592493886668,0.07153713692491037,0.005369534990226979,0.028482754803008006
measurement_noise_0.850,measurement_noise,125,60,uniform,0.2220466143195719,0.732925496012447,0.059250166848603035,0.22,0.8,0.06,0.002046614319571899,0.06707450398755299,0.0007498331513969628,0.023290317152840617
measurement_noise_0.850,measurement_noise,126,60,uniform,0.22551995719676501,0.7283195658143555,0.0599489357056914,0.22,0.8,0.06,0.005519957196765013,0.07168043418564451,5.1064294308594826e-05,0.025750485225572706
measurement_noise_0.850,measurement_noise,127,60,uniform,0.22327085585192244,0.7704585532967171,0.060829299094923656,0.22,0.8,0.06,0.0032708558519224384,0.02954144670328296,0.0008292990949236578,0.011213867216709686
measurement_noise_0.850,measurement_noise,128,60,uniform,0.22565902857786121,0.7459552649478836,0.06224213376688025,0.22,0.8,0.06,0.005659028577861214,0.05404473505211649,0.002242133766880254,0.020648632465619318
