test_index,outcome,primary_actions,expanded_actions,true_safe_actions,added_actions,primary_action,expanded_action,true_responsive_action,primary_regret,expanded_regret,incremental_regret,safety_score,downside_score,nearest_distance,mean_knn_distance,local_safe_fraction,nearest_safe_distance,nearest_unsafe_distance,safe_distance_advantage,mahalanobis_distance
0,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.7041666666666666,0.0,1.8934753439047942,2.286780037249999,0.6,2.3326636691556453,1.8934753439047942,-0.43918832525085105,4.553577375669149
1,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.5549895833333334,0.0006950249005539919,1.9423881838137145,2.3302594566414387,0.4,2.5928490950933023,1.9423881838137145,-0.6504609112795878,3.6016681137089113
2,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.806540674603174,0.0,2.387643010483566,2.630963795753651,0.6,2.387643010483566,2.5939124476985573,0.20626943721499114,2.7857970348951793
3,neutral,3,3,2|3,,3,3,2,0.0,0.0,0.0,0.9007276924464425,0.00010814630927070745,1.6484248333340061,2.4176762392259903,1.0,1.6484248333340061,5.412607094868508,3.764182261534502,3.039309596793677
4,neutral,1,1,1,,1,1,1,0.0,0.0,0.0,0.3826294642857141,0.03195580171261871,1.9561930234069216,3.337153836053883,0.2,3.1581065013747947,1.9561930234069216,-1.201913477967873,4.872369350119405
5,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.715982187950938,0.0004267160053551189,1.637245440532284,2.394287005222311,1.0,1.637245440532284,3.483988872750239,1.8467434322179548,2.8711233015414908
6,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.7329811958874457,0.00042251843132866694,1.2630608077203174,1.914216234166171,1.0,1.2630608077203174,4.181845635641797,2.9187848279214794,2.7822653989341317
7,neutral,3,3,2|3,,3,3,2,0.0,0.0,0.0,0.8429954534844241,0.0009446088274530341,5.055808545853373,5.230596976870318,1.0,5.055808545853373,6.697935485434373,1.6421269395809999,8.030409444105082
8,neutral,3,3,1|3,,3,3,1,0.0,0.0,0.0,0.788214285714286,0.0020803511824398317,1.402796025052309,2.459076712560999,1.0,1.402796025052309,4.642541415958303,3.239745390905994,3.918519603398752
9,beneficial,3,2|3,2|3,2,3,2,2,0.0,0.0,0.0,0.8166478174603178,0.0006449349878687604,1.957980999375589,2.9304442646253137,0.6,1.957980999375589,3.3846482075676168,1.4266672081920277,3.742232973673135
10,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.8780245535714286,0.0020239376035504747,1.7343425428899912,1.8564885707493488,1.0,1.7343425428899912,4.046094674424369,2.3117521315343774,2.279408408139975
11,beneficial,3,1|3,1|3,1,3,1,1,0.0,0.0,0.0,0.8801815476190477,0.008707973886357247,1.3873625797093785,2.2246031799264525,0.8,1.3873625797093785,2.810755913111286,1.4233933334019075,2.9584160154356662
12,neutral,2|3,2|3,1|2|3,,2,2,1,0.0,0.0,0.0,0.3727023809523811,4.33950606841204e-05,1.1819922686487783,2.1617350968638416,0.0,2.804527667015651,1.1819922686487783,-1.6225353983668727,3.743521055549056
13,neutral,1|2|3,1|2|3,1|2|3,,1,1,1,0.0,0.0,0.0,0.8469166666666665,0.001488691686413017,0.8534052566930987,1.5512685364252374,0.4,0.8534052566930987,1.5362526736337643,0.6828474169406655,1.9765990877595956
14,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.7928154761904764,5.7363297440541584e-05,1.3178865815625507,1.6057072454505694,0.2,1.3178865815625507,1.4494726920380467,0.13158611047549607,2.30928637100686
15,neutral,3,3,1|3,,3,3,1,0.0,0.0,0.0,0.9420213293650795,0.00042251843132866694,1.5089655782072413,2.14925549942442,1.0,1.5089655782072413,4.937459503462949,3.428493925255708,3.084601536802008
16,neutral,3,3,1|3,,3,3,1,0.0,0.0,0.0,0.6592033730158728,0.002212965555122172,1.4507049803865886,2.2965800876411087,1.0,1.4507049803865886,3.568905134622111,2.118200154235522,2.6452350108945777
17,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.9396458333333332,0.0020239376035504747,1.9349363852609263,2.411690393788684,1.0,1.9349363852609263,5.106392484020949,3.171456098760023,3.3128374764617656
18,beneficial,3,2|3,2|3,2,3,2,2,0.0,0.0,0.0,0.8304107142857141,0.00011952308575422093,1.8664653471260082,3.32435469248428,0.8,1.8664653471260082,3.7729326942604735,1.9064673471344653,3.9757157868053277
19,neutral,1|2|3,1|2|3,2|3,,1,1,2,0.09518820021482474,0.09518820021482474,0.0,0.8397708333333334,0.008468220588418287,1.4016904086509254,1.9639524069829328,0.6,1.4016904086509254,1.8376665212524876,0.4359761126015622,2.5488470826195404
20,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.9646011904761906,0.0,2.0631460144230873,2.2671989606420686,1.0,2.0631460144230873,3.9615736199180085,1.8984276054949212,2.9974293427771763
21,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.8840114087301589,0.0020239376035504747,1.2400066174016016,1.8296315073179525,1.0,1.2400066174016016,5.152942951560627,3.9129363341590255,2.9881981103246673
22,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.9288958333333333,0.0020239376035504747,1.7008842288665258,1.933028782104835,1.0,1.7008842288665258,5.1868573367455175,3.4859731078789915,2.4969707741340623
23,beneficial,3,2|3,2|3,2,3,2,2,0.0,0.0,0.0,0.6562991071428573,0.0024049294640973917,1.0696189284251016,2.2108971444598815,0.4,1.0696189284251016,2.3532493459443264,1.2836304175192248,3.730262121746321
24,beneficial,3,2|3,2|3,2,3,2,2,0.0,0.0,0.0,0.847958333333333,3.616255057010034e-05,2.5804742899592,3.122491408620216,0.8,3.159903926957973,2.5804742899592,-0.579429636998773,3.8135147411973866
25,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.7487500000000001,0.0,0.9561776210461914,1.300322722322292,0.4,0.9561776210461914,1.0072821241698442,0.05110450312365278,2.1161780472411698
26,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.817787698412698,0.0,1.6959148664856647,2.180914742347288,0.6,1.6959148664856647,2.638282064393013,0.9423671979073482,2.124656473832504
27,beneficial,3,1|3,1|3,1,3,1,1,0.0,0.0,0.0,0.8090625,0.015294872310324194,0.9324217786918939,2.35123826392201,1.0,0.9324217786918939,3.485139887455233,2.5527181087633393,3.139469974601977
28,neutral,3,3,1|2|3,,3,3,1,0.0,0.0,0.0,0.7070477092352091,0.0006370362584078815,2.607563352680308,3.6547725628088457,0.8,2.607563352680308,4.616653032782639,2.0090896801023312,4.8533502984049495
29,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.8049404761904762,0.0,1.072998493337071,1.4698216716611765,0.2,1.072998493337071,1.3518801150718622,0.27888162173479114,2.2238807952837916
30,beneficial,3,1|3,1|3,1,3,1,1,0.0,0.0,0.0,0.6619375,0.006740867548142701,2.197503709475367,2.587027798642436,0.6,2.52954760595976,2.197503709475367,-0.33204389648439303,3.144435850443076
31,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.6337772817460319,4.6210284789161776e-05,1.5600026749922418,2.048313693668767,0.4,2.3040135224304112,1.5600026749922418,-0.7440108474381695,3.3246182943855733
32,harmful,3,2|3,3,2,3,2,3,0.0,0.03348088192022192,0.03348088192022192,0.8696041666666667,2.9574582265063535e-05,2.4932104340197094,2.700623419957595,0.6,2.4932104340197094,2.8662187220267494,0.37300828800704,2.9183764959701053
33,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.7782748917748918,2.914802579008666e-05,2.2721293265173026,2.5366818958054447,1.0,2.2721293265173026,3.3032428556663436,1.031113529149041,2.574275066401764
34,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.6297753878066374,0.009787379762724634,2.8254637933872244,4.3453411045750965,0.8,2.8254637933872244,4.205185636532642,1.3797218431454175,5.949543963042745
35,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.9200049603174604,0.0,1.115104301167246,1.5781175257034126,1.0,1.115104301167246,4.257487744190653,3.1423834430234074,1.8137357390020865
36,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.9768651244588746,1.4929476624190728e-05,2.935530827530606,3.940414062675365,1.0,2.935530827530606,6.6882201055407995,3.7526892780101937,4.883543817335122
37,beneficial,3,2|3,2|3,2,3,2,2,0.0,0.0,0.0,0.7958650793650791,0.0005147742672564439,1.4515104975198145,1.7775405022317798,0.6,1.4515104975198145,1.7732786043083357,0.3217681067885212,2.970139050878904
38,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.8147470376845378,0.0,1.1768683010491288,1.5558071916619867,1.0,1.1768683010491288,3.792249458342131,2.615381157293002,2.62147403557324
39,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.9182291666666665,4.265564749768779e-06,1.5150699458294672,2.3622980962663953,0.6,1.5150699458294672,2.4716265381287363,0.9565565922992691,2.7829854136158967
40,beneficial,3,2|3,2|3,2,3,2,2,0.0,0.0,0.0,0.7013501984126986,0.001481483654147132,0.8513921918450754,1.689828544964601,0.6,0.8513921918450754,1.6913838356003101,0.8399916437552347,2.699104984812628
41,neutral,1,1,1,,1,1,1,0.007375586548430901,0.007375586548430901,0.0,0.6074375000000001,0.027373745390330315,3.9304857184857815,4.9643351686051895,0.4,3.9304857184857815,5.3233985793617284,1.392912860875947,6.000814356642729
42,neutral,1,1,1,,1,1,1,0.03091974117703608,0.03091974117703608,0.0,0.46221130952380945,0.027640328418538664,4.112705573248976,4.713616399320245,0.2,5.1148142530443605,4.112705573248976,-1.0021086797953842,6.804809671925318
43,neutral,3,3,3,,3,3,3,0.006871910725323005,0.006871910725323005,0.0,0.7733612012987013,0.0019287890704017846,5.45952827154924,6.2371509820486155,1.0,5.45952827154924,7.880189318143497,2.4206610465942573,8.95549968822576
44,neutral,3,3,1,,3,3,1,0.006622848127195047,0.006622848127195047,0.0,0.3089756399646106,0.0032533428678339594,2.8395936802046897,3.6667765516907442,0.8,2.8395936802046897,3.9573528775782525,1.1177591973735628,5.727082152076072
45,beneficial,3,2|3,2|3,2,3,2,2,0.0,0.0,0.0,0.7426547619047618,0.00022998411588553532,2.302215312241306,3.202430338525912,0.4,2.302215312241306,3.2843656529134426,0.9821503406721366,3.6658158510684737
46,beneficial,3,2|3,2|3,2,3,2,2,0.0,0.0,0.0,0.8367946428571429,0.000809785638086825,3.0897498813730886,3.1347940836563195,0.4,3.0897498813730886,3.0970338197525167,0.00728393837942809,3.95145154708024
47,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.8249603174603173,0.0,1.7217186789614969,1.96175390776667,0.6,1.7217186789614969,1.7710769647596933,0.049358285798196455,2.6526101890357743
48,beneficial,3,1|3,1|3,1,3,1,1,0.0,0.0,0.0,0.8936577380952379,0.005197061602340277,1.4034555515415674,2.537910138353109,0.8,1.4034555515415674,3.6727091939580294,2.269253642416462,3.687337358395535
49,beneficial,3,1|3,1|3,1,3,1,1,0.0,0.0,0.0,0.853458333333333,0.006221364149157478,1.244901558530187,1.840314443249201,0.6,1.244901558530187,1.863185582760088,0.618284024229901,1.667758509010353
50,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.8846644483988234,0.0,1.118389386945795,1.8403382926599163,1.0,1.118389386945795,4.0679376064728,2.9495482195270046,2.394263748138907
51,beneficial,3,1|3,1|3,1,3,1,1,0.0,0.0,0.0,0.8577648809523807,0.0071008122067686905,1.3825313442235199,1.9059361330394111,0.8,1.3825313442235199,2.473018410933615,1.090487066710095,2.515221670002095
52,neutral,3,3,1|3,,3,3,1,0.0,0.0,0.0,0.7475069895382397,7.347583788843164e-05,0.9602496511755565,2.134404738344265,1.0,0.9602496511755565,3.911159414629506,2.950909763453949,3.349884209322067
53,neutral,1|3,1|3,1|3,,1,1,1,0.0,0.0,0.0,0.7118095238095239,0.018502264837540753,1.5449836953643807,1.8554495418290138,0.6,1.5449836953643807,1.7637551894443468,0.2187714940799661,2.43690335186566
54,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.8460446428571428,0.0,1.0328068057454831,1.4084579721497383,0.6,1.0328068057454831,1.8956723469065202,0.8628655411610371,2.0458527311837225
