condition,true_class,replicate,population_size,hard_accuracy,coverage,selective_accuracy,evidence_sufficient
measurement_noise_0.875,measurement_noise,0,100,0.95,0.8,0.9875,True
measurement_noise_0.875,measurement_noise,1,100,0.95,0.77,1.0,False
measurement_noise_0.875,measurement_noise,2,100,0.98,0.81,1.0,True
measurement_noise_0.875,measurement_noise,3,100,0.91,0.75,0.9866666666666667,False
measurement_noise_0.875,measurement_noise,4,100,0.89,0.77,0.987012987012987,False
measurement_noise_0.875,measurement_noise,5,100,0.97,0.86,1.0,True
measurement_noise_0.875,measurement_noise,6,100,0.94,0.81,0.9753086419753086,True
measurement_noise_0.875,measurement_noise,7,100,0.88,0.76,1.0,False
measurement_noise_0.875,measurement_noise,8,100,0.91,0.74,0.9594594594594594,False
measurement_noise_0.875,measurement_noise,9,100,0.89,0.76,0.9736842105263158,False
measurement_noise_0.875,measurement_noise,10,100,0.94,0.8,1.0,True
measurement_noise_0.875,measurement_noise,11,100,0.91,0.73,1.0,False
measurement_noise_0.875,measurement_noise,12,100,0.95,0.78,1.0,False
measurement_noise_0.875,measurement_noise,13,100,0.98,0.83,1.0,True
measurement_noise_0.875,measurement_noise,14,100,0.91,0.83,0.9879518072289156,True
measurement_noise_0.875,measurement_noise,15,100,0.86,0.77,0.961038961038961,False
measurement_noise_0.875,measurement_noise,16,100,0.93,0.77,0.987012987012987,False
measurement_noise_0.875,measurement_noise,17,100,0.94,0.8,0.975,True
measurement_noise_0.875,measurement_noise,18,100,0.97,0.84,0.9880952380952381,True
measurement_noise_0.875,measurement_noise,19,100,0.94,0.7,0.9857142857142858,False
measurement_noise_0.875,measurement_noise,20,100,0.92,0.81,0.9629629629629629,True
measurement_noise_0.875,measurement_noise,21,100,0.95,0.86,0.9883720930232558,True
measurement_noise_0.875,measurement_noise,22,100,0.91,0.77,1.0,False
measurement_noise_0.875,measurement_noise,23,100,0.89,0.82,0.9878048780487805,False
measurement_noise_0.875,measurement_noise,24,100,0.92,0.82,0.9878048780487805,True
measurement_noise_0.875,measurement_noise,25,100,0.95,0.81,1.0,True
measurement_noise_0.875,measurement_noise,26,100,0.96,0.81,1.0,True
measurement_noise_0.875,measurement_noise,27,100,0.92,0.78,0.9743589743589743,False
measurement_noise_0.875,measurement_noise,28,100,0.95,0.85,0.9882352941176471,True
measurement_noise_0.875,measurement_noise,29,100,0.91,0.77,1.0,False
measurement_noise_0.875,measurement_noise,30,100,0.91,0.71,0.9859154929577465,False
measurement_noise_0.875,measurement_noise,31,100,0.95,0.84,0.9761904761904762,True
measurement_noise_0.875,measurement_noise,32,100,0.93,0.84,1.0,True
measurement_noise_0.875,measurement_noise,33,100,0.91,0.76,0.9736842105263158,False
measurement_noise_0.875,measurement_noise,34,100,0.9,0.79,0.9873417721518988,False
measurement_noise_0.875,measurement_noise,35,100,0.96,0.8,1.0,True
measurement_noise_0.875,measurement_noise,36,100,0.96,0.82,1.0,True
measurement_noise_0.875,measurement_noise,37,100,0.94,0.76,1.0,False
measurement_noise_0.875,measurement_noise,38,100,0.93,0.81,0.9753086419753086,True
measurement_noise_0.875,measurement_noise,39,100,0.95,0.85,1.0,True
measurement_noise_0.875,measurement_noise,40,100,0.93,0.75,0.9733333333333334,False
measurement_noise_0.875,measurement_noise,41,100,0.91,0.78,0.9871794871794872,False
measurement_noise_0.875,measurement_noise,42,100,0.94,0.8,1.0,True
measurement_noise_0.875,measurement_noise,43,100,0.94,0.82,0.9878048780487805,True
measurement_noise_0.875,measurement_noise,44,100,0.94,0.84,0.9761904761904762,True
measurement_noise_0.875,measurement_noise,45,100,0.96,0.79,1.0,False
measurement_noise_0.875,measurement_noise,46,100,0.97,0.83,0.9879518072289156,True
measurement_noise_0.875,measurement_noise,47,100,0.92,0.84,0.9761904761904762,True
measurement_noise_0.875,measurement_noise,48,100,0.91,0.86,1.0,True
measurement_noise_0.875,measurement_noise,49,100,0.92,0.73,0.9726027397260274,False
measurement_noise_0.875,measurement_noise,50,100,0.93,0.81,1.0,True
measurement_noise_0.875,measurement_noise,51,100,0.94,0.77,0.987012987012987,False
measurement_noise_0.875,measurement_noise,52,100,0.87,0.77,1.0,False
measurement_noise_0.875,measurement_noise,53,100,0.93,0.79,0.9873417721518988,False
measurement_noise_0.875,measurement_noise,54,100,0.94,0.79,1.0,False
measurement_noise_0.875,measurement_noise,55,100,0.89,0.74,0.9459459459459459,False
measurement_noise_0.875,measurement_noise,56,100,0.92,0.76,1.0,False
measurement_noise_0.875,measurement_noise,57,100,0.93,0.77,0.987012987012987,False
measurement_noise_0.875,measurement_noise,58,100,0.93,0.81,0.9876543209876543,True
measurement_noise_0.875,measurement_noise,59,100,0.95,0.7,1.0,False
measurement_noise_0.875,measurement_noise,60,100,0.95,0.86,0.9883720930232558,True
measurement_noise_0.875,measurement_noise,61,100,0.93,0.82,0.975609756097561,True
measurement_noise_0.875,measurement_noise,62,100,0.9,0.79,0.9746835443037974,False
measurement_noise_0.875,measurement_noise,63,100,0.92,0.77,0.987012987012987,False
measurement_noise_0.875,measurement_noise,64,100,0.98,0.81,1.0,True
measurement_noise_0.875,measurement_noise,65,100,0.91,0.72,0.9861111111111112,False
measurement_noise_0.875,measurement_noise,66,100,0.95,0.82,1.0,True
measurement_noise_0.875,measurement_noise,67,100,0.94,0.78,1.0,False
measurement_noise_0.875,measurement_noise,68,100,0.94,0.79,0.9746835443037974,False
measurement_noise_0.875,measurement_noise,69,100,0.95,0.81,1.0,True
measurement_noise_0.875,measurement_noise,70,100,0.93,0.75,0.9733333333333334,False
measurement_noise_0.875,measurement_noise,71,100,0.96,0.86,0.9883720930232558,True
measurement_noise_0.875,measurement_noise,72,100,0.88,0.71,0.9577464788732394,False
measurement_noise_0.875,measurement_noise,73,100,0.88,0.77,0.974025974025974,False
measurement_noise_0.875,measurement_noise,74,100,0.95,0.81,1.0,True
measurement_noise_0.875,measurement_noise,75,100,0.95,0.77,1.0,False
measurement_noise_0.875,measurement_noise,76,100,0.91,0.69,0.9855072463768116,False
measurement_noise_0.875,measurement_noise,77,100,0.91,0.87,0.9770114942528736,True
measurement_noise_0.875,measurement_noise,78,100,0.95,0.81,1.0,True
measurement_noise_0.875,measurement_noise,79,100,0.97,0.76,1.0,False
measurement_noise_0.875,measurement_noise,80,100,0.95,0.78,0.9871794871794872,False
measurement_noise_0.875,measurement_noise,81,100,0.93,0.79,0.9746835443037974,False
measurement_noise_0.875,measurement_noise,82,100,0.94,0.81,0.9876543209876543,True
measurement_noise_0.875,measurement_noise,83,100,0.95,0.82,1.0,True
measurement_noise_0.875,measurement_noise,84,100,0.91,0.7,1.0,False
measurement_noise_0.875,measurement_noise,85,100,0.95,0.83,1.0,True
measurement_noise_0.875,measurement_noise,86,100,0.91,0.72,0.9722222222222222,False
measurement_noise_0.875,measurement_noise,87,100,0.98,0.81,0.9876543209876543,True
measurement_noise_0.875,measurement_noise,88,100,0.93,0.79,0.9873417721518988,False
measurement_noise_0.875,measurement_noise,89,100,0.95,0.78,0.9743589743589743,False
measurement_noise_0.875,measurement_noise,90,100,0.92,0.83,0.9759036144578314,True
measurement_noise_0.875,measurement_noise,91,100,0.91,0.8,1.0,True
measurement_noise_0.875,measurement_noise,92,100,0.91,0.7,1.0,False
measurement_noise_0.875,measurement_noise,93,100,0.96,0.71,1.0,False
measurement_noise_0.875,measurement_noise,94,100,0.87,0.77,0.935064935064935,False
measurement_noise_0.875,measurement_noise,95,100,0.93,0.77,1.0,False
measurement_noise_0.875,measurement_noise,96,100,0.93,0.82,1.0,True
measurement_noise_0.875,measurement_noise,97,100,0.92,0.8,0.9875,True
measurement_noise_0.875,measurement_noise,98,100,0.93,0.82,1.0,True
measurement_noise_0.875,measurement_noise,99,100,0.96,0.82,0.9878048780487805,True
measurement_noise_0.975,measurement_noise,0,100,0.99,0.9,0.9888888888888889,True
measurement_noise_0.975,measurement_noise,1,100,0.96,0.87,1.0,True
measurement_noise_0.975,measurement_noise,2,100,0.94,0.83,0.9759036144578314,True
measurement_noise_0.975,measurement_noise,3,100,0.97,0.91,0.978021978021978,True
measurement_noise_0.975,measurement_noise,4,100,0.98,0.91,1.0,True
measurement_noise_0.975,measurement_noise,5,100,0.96,0.87,0.9770114942528736,True
measurement_noise_0.975,measurement_noise,6,100,0.95,0.81,0.9876543209876543,True
measurement_noise_0.975,measurement_noise,7,100,0.97,0.9,0.9888888888888889,True
measurement_noise_0.975,measurement_noise,8,100,0.98,0.9,1.0,True
measurement_noise_0.975,measurement_noise,9,100,0.96,0.85,0.9882352941176471,True
measurement_noise_0.975,measurement_noise,10,100,0.96,0.9,0.9888888888888889,True
measurement_noise_0.975,measurement_noise,11,100,0.95,0.92,0.9891304347826086,True
measurement_noise_0.975,measurement_noise,12,100,0.96,0.87,0.9885057471264368,True
measurement_noise_0.975,measurement_noise,13,100,0.97,0.88,1.0,True
measurement_noise_0.975,measurement_noise,14,100,0.98,0.9,1.0,True
measurement_noise_0.975,measurement_noise,15,100,0.97,0.87,1.0,True
measurement_noise_0.975,measurement_noise,16,100,0.97,0.92,1.0,True
measurement_noise_0.975,measurement_noise,17,100,0.98,0.92,1.0,True
measurement_noise_0.975,measurement_noise,18,100,0.98,0.92,1.0,True
measurement_noise_0.975,measurement_noise,19,100,0.98,0.89,0.9887640449438202,True
measurement_noise_0.975,measurement_noise,20,100,0.94,0.89,0.9775280898876404,True
measurement_noise_0.975,measurement_noise,21,100,0.96,0.86,1.0,True
measurement_noise_0.975,measurement_noise,22,100,0.97,0.93,1.0,True
measurement_noise_0.975,measurement_noise,23,100,0.99,0.92,1.0,True
measurement_noise_0.975,measurement_noise,24,100,0.96,0.9,1.0,True
measurement_noise_0.975,measurement_noise,25,100,0.98,0.87,0.9885057471264368,True
measurement_noise_0.975,measurement_noise,26,100,0.94,0.8,0.9875,True
measurement_noise_0.975,measurement_noise,27,100,0.97,0.94,0.9893617021276596,True
measurement_noise_0.975,measurement_noise,28,100,0.98,0.91,0.989010989010989,True
measurement_noise_0.975,measurement_noise,29,100,0.92,0.86,0.9651162790697675,True
measurement_noise_0.975,measurement_noise,30,100,0.99,0.94,1.0,True
measurement_noise_0.975,measurement_noise,31,100,0.96,0.93,0.989247311827957,True
measurement_noise_0.975,measurement_noise,32,100,0.99,0.95,1.0,True
measurement_noise_0.975,measurement_noise,33,100,0.98,0.89,1.0,True
measurement_noise_0.975,measurement_noise,34,100,0.98,0.92,0.9891304347826086,True
measurement_noise_0.975,measurement_noise,35,100,0.96,0.87,1.0,True
measurement_noise_0.975,measurement_noise,36,100,0.94,0.87,0.9885057471264368,True
